bowler,batsman,runs,times_dismissed
UT Yadav,Mohammad Shahzad,21,1
UT Yadav,Javed Ahmadi,1,1
UT Yadav,Rahmat Shah,7,1
UT Yadav,Afsar Zazai,0,1
UT Yadav,Hashmatullah Shahidi,1,1
UT Yadav,Asghar Stanikzai,14,1
UT Yadav,Mohammad Nabi,0,1
UT Yadav,DA Warner,180,1
UT Yadav,SPD Smith,262,1
UT Yadav,SE Marsh,123,1
UT Yadav,MT Renshaw,48,1
UT Yadav,MS Wade,44,1
UT Yadav,MA Starc,49,1
UT Yadav,SNJ O'Keefe,18,1
UT Yadav,NM Lyon,20,1
UT Yadav,JR Hazlewood,6,1
UT Yadav,MR Marsh,8,1
UT Yadav,PSP Handscomb,42,1
UT Yadav,GJ Maxwell,30,1
UT Yadav,PJ Cummins,7,1
UT Yadav,AJ Finch,8,1
UT Yadav,MS Harris,30,1
UT Yadav,UT Khawaja,25,1
UT Yadav,TM Head,10,1
UT Yadav,TD Paine,10,1
UT Yadav,EJM Cowan,63,1
UT Yadav,RT Ponting,137,1
UT Yadav,MJ Clarke,122,1
UT Yadav,BJ Haddin,38,1
UT Yadav,PM Siddle,19,1
UT Yadav,JL Pattinson,22,1
UT Yadav,BW Hilfenhaus,1,1
UT Yadav,MEK Hussey,61,1
UT Yadav,RJ Harris,30,1
UT Yadav,CJL Rogers,73,1
UT Yadav,SR Watson,55,1
UT Yadav,MG Johnson,39,1
UT Yadav,JA Burns,28,1
UT Yadav,Soumya Sarkar,4,1
UT Yadav,Mominul Haque,41,1
UT Yadav,Tamim Iqbal,5,1
UT Yadav,Mahmudullah,59,1
UT Yadav,Shakib Al Hasan,31,1
UT Yadav,Mushfiqur Rahim,64,1
UT Yadav,Mehedi Hasan Miraz,24,1
UT Yadav,Taijul Islam,10,1
UT Yadav,Taskin Ahmed,0,1
UT Yadav,Sabbir Rahman,1,1
UT Yadav,Kamrul Islam Rabbi,0,1
UT Yadav,Imrul Kayes,35,1
UT Yadav,Shadman Islam,18,1
UT Yadav,Mohammad Mithun,18,1
UT Yadav,Abu Jayed,6,1
UT Yadav,Ebadat Hossain,2,1
UT Yadav,Liton Das,17,1
UT Yadav,Al-Amin Hossain,8,1
UT Yadav,Shuvagata Hom,2,1
UT Yadav,AN Cook,116,1
UT Yadav,H Hameed,35,1
UT Yadav,MM Ali,76,1
UT Yadav,JE Root,98,1
UT Yadav,BA Stokes,46,1
UT Yadav,JM Bairstow,34,1
UT Yadav,CR Woakes,14,1
UT Yadav,ZS Ansari,6,1
UT Yadav,SCJ Broad,14,1
UT Yadav,AU Rashid,32,1
UT Yadav,JC Buttler,25,1
UT Yadav,JM Anderson,4,1
UT Yadav,KK Jennings,47,1
UT Yadav,JT Ball,1,1
UT Yadav,LA Dawson,8,1
UT Yadav,SM Curran,14,1
UT Yadav,SR Patel,2,1
UT Yadav,TT Bresnan,9,1
UT Yadav,MJ Prior,27,1
UT Yadav,NRD Compton,6,1
UT Yadav,KP Pietersen,1,1
UT Yadav,IR Bell,6,1
UT Yadav,GP Swann,0,1
UT Yadav,MJ Guptill,67,1
UT Yadav,KS Williamson,51,1
UT Yadav,TWM Latham,43,1
UT Yadav,L Ronchi,23,1
