striker,non_striker,runs
SE Marsh,DA Warner,178
DA Warner,SE Marsh,300
SE Marsh,UT Khawaja,131
UT Khawaja,SE Marsh,141
SE Marsh,SPD Smith,595
SPD Smith,SE Marsh,663
SE Marsh,AC Voges,209
AC Voges,SE Marsh,283
AC Voges,MR Marsh,131
MR Marsh,AC Voges,108
AC Voges,PM Nevill,120
PM Nevill,AC Voges,62
MA Starc,PM Nevill,123
PM Nevill,MA Starc,61
PM Siddle,PM Nevill,31
PM Nevill,PM Siddle,25
PM Siddle,JR Hazlewood,7
JR Hazlewood,PM Siddle,5
PM Siddle,NM Lyon,56
NM Lyon,PM Siddle,91
SPD Smith,UT Khawaja,707
UT Khawaja,SPD Smith,657
UT Khawaja,AC Voges,162
AC Voges,UT Khawaja,161
UT Khawaja,MR Marsh,73
MR Marsh,UT Khawaja,68
UT Khawaja,PM Nevill,27
PM Nevill,UT Khawaja,16
PM Nevill,JR Hazlewood,44
JR Hazlewood,PM Nevill,48
PM Nevill,NM Lyon,55
NM Lyon,PM Nevill,50
JA Burns,DA Warner,557
DA Warner,JA Burns,750
UT Khawaja,JA Burns,228
JA Burns,UT Khawaja,201
SPD Smith,AC Voges,442
AC Voges,SPD Smith,438
SPD Smith,CJ Ferguson,10
CJ Ferguson,SPD Smith,4
SPD Smith,PM Nevill,84
PM Nevill,SPD Smith,85
SPD Smith,JM Mennie,18
JM Mennie,SPD Smith,10
SPD Smith,MA Starc,211
MA Starc,SPD Smith,265
SPD Smith,JR Hazlewood,60
JR Hazlewood,SPD Smith,37
SPD Smith,NM Lyon,143
NM Lyon,SPD Smith,51
DA Warner,UT Khawaja,760
UT Khawaja,DA Warner,541
MA Starc,JR Hazlewood,166
JR Hazlewood,MA Starc,98
JR Hazlewood,NM Lyon,63
NM Lyon,JR Hazlewood,110
MT Renshaw,UT Khawaja,60
UT Khawaja,MT Renshaw,48
PSP Handscomb,UT Khawaja,154
UT Khawaja,PSP Handscomb,106
UT Khawaja,NJ Maddinson,3
NJ Maddinson,UT Khawaja,0
UT Khawaja,MS Wade,1
MS Wade,UT Khawaja,4
UT Khawaja,MA Starc,14
MA Starc,UT Khawaja,29
JR Hazlewood,JM Bird,12
JM Bird,JR Hazlewood,10
DA Warner,MT Renshaw,405
MT Renshaw,DA Warner,203
MT Renshaw,SPD Smith,174
SPD Smith,MT Renshaw,210
PSP Handscomb,MT Renshaw,80
MT Renshaw,PSP Handscomb,126
SPD Smith,PSP Handscomb,215
PSP Handscomb,SPD Smith,238
PSP Handscomb,NJ Maddinson,15
NJ Maddinson,PSP Handscomb,5
PSP Handscomb,MS Wade,24
MS Wade,PSP Handscomb,40
PSP Handscomb,MA Starc,12
MA Starc,PSP Handscomb,18
PSP Handscomb,JR Hazlewood,17
JR Hazlewood,PSP Handscomb,8
NM Lyon,PSP Handscomb,14
PSP Handscomb,NM Lyon,7
NM Lyon,JM Bird,29
JM Bird,NM Lyon,19
SPD Smith,NJ Maddinson,37
NJ Maddinson,SPD Smith,22
SPD Smith,MS Wade,303
MS Wade,SPD Smith,298
HWR Cartwright,PSP Handscomb,37
PSP Handscomb,HWR Cartwright,50
MS Wade,MA Starc,51
MA Starc,MS Wade,73
SNJ O'Keefe,MA Starc,8
MA Starc,SNJ O'Keefe,36
MT Renshaw,MR Marsh,13
MR Marsh,MT Renshaw,4
MT Renshaw,MS Wade,14
MS Wade,MT Renshaw,8
MT Renshaw,MA Starc,5
MA Starc,MT Renshaw,1
MA Starc,NM Lyon,247
NM Lyon,MA Starc,149
MR Marsh,SPD Smith,468
SPD Smith,MR Marsh,410
SNJ O'Keefe,NM Lyon,7
NM Lyon,SNJ O'Keefe,19
SNJ O'Keefe,JR Hazlewood,5
JR Hazlewood,SNJ O'Keefe,3
MT Renshaw,SE Marsh,23
SE Marsh,MT Renshaw,25
SE Marsh,PSP Handscomb,104
PSP Handscomb,SE Marsh,146
SE Marsh,MR Marsh,116
MR Marsh,SE Marsh,157
MS Wade,SE Marsh,22
SE Marsh,MS Wade,28
MS Wade,SNJ O'Keefe,18
SNJ O'Keefe,MS Wade,11
DA Warner,SPD Smith,766
SPD Smith,DA Warner,618
PSP Handscomb,MR Marsh,14
MR Marsh,PSP Handscomb,13
PSP Handscomb,SNJ O'Keefe,4
SNJ O'Keefe,PSP Handscomb,2
SPD Smith,GJ Maxwell,80
GJ Maxwell,SPD Smith,122
SPD Smith,PJ Cummins,75
PJ Cummins,SPD Smith,64
SNJ O'Keefe,SPD Smith,25
SPD Smith,SNJ O'Keefe,26
MT Renshaw,NM Lyon,4
NM Lyon,MT Renshaw,2
PSP Handscomb,GJ Maxwell,39
GJ Maxwell,PSP Handscomb,74
MS Wade,PJ Cummins,58
PJ Cummins,MS Wade,55
MS Wade,NM Lyon,23
NM Lyon,MS Wade,20
GJ Maxwell,SE Marsh,0
SE Marsh,GJ Maxwell,1
GJ Maxwell,MS Wade,32
MS Wade,GJ Maxwell,27
MS Wade,JR Hazlewood,15
JR Hazlewood,MS Wade,0
DA Warner,CT Bancroft,433
CT Bancroft,DA Warner,304
SPD Smith,TD Paine,172
TD Paine,SPD Smith,125
SE Marsh,TD Paine,105
TD Paine,SE Marsh,139
SE Marsh,MA Starc,25
MA Starc,SE Marsh,24
PJ Cummins,SE Marsh,46
SE Marsh,PJ Cummins,60
NM Lyon,SE Marsh,11
SE Marsh,NM Lyon,35
MA Starc,PJ Cummins,64
PJ Cummins,MA Starc,52
JR Hazlewood,PJ Cummins,15
PJ Cummins,JR Hazlewood,33
CT Bancroft,UT Khawaja,58
UT Khawaja,CT Bancroft,87
TD Paine,MA Starc,47
MA Starc,TD Paine,71
PJ Cummins,TD Paine,192
TD Paine,PJ Cummins,230
NM Lyon,TD Paine,94
TD Paine,NM Lyon,61
PJ Cummins,JM Bird,3
JM Bird,PJ Cummins,4
MR Marsh,TD Paine,68
TD Paine,MR Marsh,43
MR Marsh,PJ Cummins,6
PJ Cummins,MR Marsh,3
MR Marsh,MA Starc,27
MA Starc,MR Marsh,36
MR Marsh,NM Lyon,37
NM Lyon,MR Marsh,8
CT Bancroft,SPD Smith,24
SPD Smith,CT Bancroft,21
PJ Cummins,NM Lyon,75
NM Lyon,PJ Cummins,52
TD Paine,JR Hazlewood,53
JR Hazlewood,TD Paine,43
CT Bancroft,SE Marsh,51
SE Marsh,CT Bancroft,26
CT Bancroft,MR Marsh,0
MR Marsh,CT Bancroft,0
JA Burns,MT Renshaw,18
MT Renshaw,JA Burns,11
TD Paine,CJ Sayers,1
CJ Sayers,TD Paine,0
JA Burns,PSP Handscomb,22
PSP Handscomb,JA Burns,10
PSP Handscomb,TD Paine,2
TD Paine,PSP Handscomb,9
NM Lyon,CJ Sayers,0
CJ Sayers,NM Lyon,0
MT Renshaw,GJ Maxwell,3
GJ Maxwell,MT Renshaw,7
AC Agar,GJ Maxwell,8
GJ Maxwell,AC Agar,15
AC Agar,PJ Cummins,34
PJ Cummins,AC Agar,29
AC Agar,JR Hazlewood,19
JR Hazlewood,AC Agar,5
PJ Cummins,GJ Maxwell,2
GJ Maxwell,PJ Cummins,2
DA Warner,PSP Handscomb,65
PSP Handscomb,DA Warner,82
GJ Maxwell,DA Warner,32
DA Warner,GJ Maxwell,35
GJ Maxwell,HWR Cartwright,5
HWR Cartwright,GJ Maxwell,18
SNJ O'Keefe,AC Agar,7
AC Agar,SNJ O'Keefe,4
MS Harris,AJ Finch,94
AJ Finch,MS Harris,97
MS Harris,UT Khawaja,162
UT Khawaja,MS Harris,114
PSP Handscomb,TM Head,33
TM Head,PSP Handscomb,39
TM Head,TD Paine,101
TD Paine,TM Head,118
PJ Cummins,TM Head,11
TM Head,PJ Cummins,38
TM Head,MA Starc,11
MA Starc,TM Head,16
TM Head,NM Lyon,6
NM Lyon,TM Head,24
SE Marsh,TM Head,103
TM Head,SE Marsh,95
SE Marsh,MS Harris,1
MS Harris,SE Marsh,2
UT Khawaja,TM Head,156
TM Head,UT Khawaja,150
UT Khawaja,TD Paine,68
TD Paine,UT Khawaja,77
UT Khawaja,AJ Finch,110
AJ Finch,UT Khawaja,124
PJ Cummins,UT Khawaja,1
UT Khawaja,PJ Cummins,4
MR Marsh,TM Head,15
TM Head,MR Marsh,12
M Labuschagne,MS Harris,42
MS Harris,M Labuschagne,56
SE Marsh,M Labuschagne,8
M Labuschagne,SE Marsh,8
M Labuschagne,TM Head,230
TM Head,M Labuschagne,204
PJ Cummins,PSP Handscomb,25
PSP Handscomb,PJ Cummins,7
JA Burns,MS Harris,16
MS Harris,JA Burns,44
MS Harris,NM Lyon,4
NM Lyon,MS Harris,0
M Labuschagne,NM Lyon,13
NM Lyon,M Labuschagne,5
TM Head,KR Patterson,13
KR Patterson,TM Head,9
KR Patterson,TD Paine,78
TD Paine,KR Patterson,45
PJ Cummins,KR Patterson,0
KR Patterson,PJ Cummins,4
KR Patterson,MA Starc,17
MA Starc,KR Patterson,8
MA Starc,JA Richardson,18
JA Richardson,MA Starc,1
JA Burns,M Labuschagne,56
M Labuschagne,JA Burns,75
JA Burns,TM Head,139
TM Head,JA Burns,161
KR Patterson,JA Burns,36
JA Burns,KR Patterson,31
UT Khawaja,M Labuschagne,40
M Labuschagne,UT Khawaja,21
SPD Smith,TM Head,144
TM Head,SPD Smith,162
SPD Smith,JL Pattinson,0
JL Pattinson,SPD Smith,0
PM Siddle,SPD Smith,141
SPD Smith,PM Siddle,148
MS Wade,TD Paine,75
TD Paine,MS Wade,56
TD Paine,JL Pattinson,1
JL Pattinson,TD Paine,1
JL Pattinson,PJ Cummins,51
PJ Cummins,JL Pattinson,34
PM Siddle,PJ Cummins,8
PJ Cummins,PM Siddle,1
CT Bancroft,M Labuschagne,9
M Labuschagne,CT Bancroft,18
MS Wade,TM Head,31
TM Head,MS Wade,34
MS Harris,DA Warner,23
DA Warner,MS Harris,12
DA Warner,M Labuschagne,420
M Labuschagne,DA Warner,428
M Labuschagne,MS Wade,97
MS Wade,M Labuschagne,127
TD Paine,M Labuschagne,62
M Labuschagne,TD Paine,85
JL Pattinson,M Labuschagne,24
M Labuschagne,JL Pattinson,35
PJ Cummins,M Labuschagne,6
M Labuschagne,PJ Cummins,5
SPD Smith,M Labuschagne,243
M Labuschagne,SPD Smith,341
MS Wade,MR Marsh,30
MR Marsh,MS Wade,24
PM Siddle,MS Wade,84
MS Wade,PM Siddle,46
MR Marsh,M Labuschagne,0
M Labuschagne,MR Marsh,0
MA Starc,PM Siddle,10
PM Siddle,MA Starc,13
NM Lyon,JM Holland,7
JM Holland,NM Lyon,3
TD Paine,PM Siddle,0
PM Siddle,TD Paine,0
AJ Finch,PM Siddle,0
PM Siddle,AJ Finch,4
SE Marsh,AJ Finch,7
AJ Finch,SE Marsh,19
