striker,non_striker,runs
Imrul Kayes,Tamim Iqbal,915
Tamim Iqbal,Imrul Kayes,1324
Tamim Iqbal,Mominul Haque,564
Mominul Haque,Tamim Iqbal,524
Mominul Haque,Mahmudullah,345
Mahmudullah,Mominul Haque,268
Mominul Haque,Shakib Al Hasan,331
Shakib Al Hasan,Mominul Haque,329
Shakib Al Hasan,Mushfiqur Rahim,1217
Mushfiqur Rahim,Shakib Al Hasan,953
Shakib Al Hasan,Sabbir Rahman,31
Sabbir Rahman,Shakib Al Hasan,14
Sabbir Rahman,Mehedi Hasan Miraz,12
Mehedi Hasan Miraz,Sabbir Rahman,2
Taskin Ahmed,Sabbir Rahman,8
Sabbir Rahman,Taskin Ahmed,39
Sabbir Rahman,Kamrul Islam Rabbi,37
Kamrul Islam Rabbi,Sabbir Rahman,7
Mominul Haque,Mehedi Hasan Miraz,12
Mehedi Hasan Miraz,Mominul Haque,11
Mominul Haque,Sabbir Rahman,13
Sabbir Rahman,Mominul Haque,17
Sabbir Rahman,Mushfiqur Rahim,179
Mushfiqur Rahim,Sabbir Rahman,118
Sabbir Rahman,Imrul Kayes,42
Imrul Kayes,Sabbir Rahman,24
Imrul Kayes,Subashis Roy,8
Subashis Roy,Imrul Kayes,0
Soumya Sarkar,Tamim Iqbal,244
Tamim Iqbal,Soumya Sarkar,223
Soumya Sarkar,Mahmudullah,197
Mahmudullah,Soumya Sarkar,126
Soumya Sarkar,Shakib Al Hasan,110
Shakib Al Hasan,Soumya Sarkar,96
Shakib Al Hasan,Nazmul Hossain Shanto,2
Nazmul Hossain Shanto,Shakib Al Hasan,0
Nazmul Hossain Shanto,Nurul Hasan,18
Nurul Hasan,Nazmul Hossain Shanto,35
Nurul Hasan,Mehedi Hasan Miraz,1
Mehedi Hasan Miraz,Nurul Hasan,10
Nurul Hasan,Taskin Ahmed,1
Taskin Ahmed,Nurul Hasan,8
Nurul Hasan,Kamrul Islam Rabbi,10
Kamrul Islam Rabbi,Nurul Hasan,2
Kamrul Islam Rabbi,Rubel Hossain,0
Rubel Hossain,Kamrul Islam Rabbi,23
Mahmudullah,Shakib Al Hasan,354
Shakib Al Hasan,Mahmudullah,376
Mahmudullah,Nazmul Hossain Shanto,42
Nazmul Hossain Shanto,Mahmudullah,29
Nazmul Hossain Shanto,Sabbir Rahman,8
Sabbir Rahman,Nazmul Hossain Shanto,0
Nazmul Hossain Shanto,Mehedi Hasan Miraz,2
Mehedi Hasan Miraz,Nazmul Hossain Shanto,4
Mehedi Hasan Miraz,Taskin Ahmed,5
Taskin Ahmed,Mehedi Hasan Miraz,19
Taskin Ahmed,Kamrul Islam Rabbi,25
Kamrul Islam Rabbi,Taskin Ahmed,25
Tamim Iqbal,Mahmudullah,226
Mahmudullah,Tamim Iqbal,219
Tamim Iqbal,Mushfiqur Rahim,92
Mushfiqur Rahim,Tamim Iqbal,105
Shakib Al Hasan,Shafiul Islam,34
Shafiul Islam,Shakib Al Hasan,28
Shafiul Islam,Sabbir Rahman,2
Sabbir Rahman,Shafiul Islam,15
Sabbir Rahman,Taijul Islam,17
Taijul Islam,Sabbir Rahman,21
Taijul Islam,Kamrul Islam Rabbi,29
Kamrul Islam Rabbi,Taijul Islam,1
Imrul Kayes,Mominul Haque,290
Mominul Haque,Imrul Kayes,322
Shakib Al Hasan,Shuvagata Hom,91
Shuvagata Hom,Shakib Al Hasan,60
Shakib Al Hasan,Mehedi Hasan Miraz,6
Mehedi Hasan Miraz,Shakib Al Hasan,12
Shakib Al Hasan,Taijul Islam,24
Taijul Islam,Shakib Al Hasan,22
Imrul Kayes,Mahmudullah,67
Mahmudullah,Imrul Kayes,82
Shakib Al Hasan,Imrul Kayes,34
Imrul Kayes,Shakib Al Hasan,30
Shuvagata Hom,Sabbir Rahman,15
Sabbir Rahman,Shuvagata Hom,15
Shuvagata Hom,Taijul Islam,19
Taijul Islam,Shuvagata Hom,22
Shuvagata Hom,Mehedi Hasan Miraz,1
Mehedi Hasan Miraz,Shuvagata Hom,2
Kamrul Islam Rabbi,Shuvagata Hom,7
Shuvagata Hom,Kamrul Islam Rabbi,9
Mushfiqur Rahim,Mehedi Hasan Miraz,236
Mehedi Hasan Miraz,Mushfiqur Rahim,223
Mushfiqur Rahim,Taijul Islam,58
Taijul Islam,Mushfiqur Rahim,75
Mushfiqur Rahim,Taskin Ahmed,30
Taskin Ahmed,Mushfiqur Rahim,8
Mushfiqur Rahim,Kamrul Islam Rabbi,10
Kamrul Islam Rabbi,Mushfiqur Rahim,0
Soumya Sarkar,Mominul Haque,62
Mominul Haque,Soumya Sarkar,68
Mahmudullah,Mushfiqur Rahim,462
Mushfiqur Rahim,Mahmudullah,469
Sabbir Rahman,Mahmudullah,52
Mahmudullah,Sabbir Rahman,53
Mahmudullah,Mehedi Hasan Miraz,103
Mehedi Hasan Miraz,Mahmudullah,108
Mehedi Hasan Miraz,Kamrul Islam Rabbi,15
Kamrul Islam Rabbi,Mehedi Hasan Miraz,2
Imrul Kayes,Liton Das,63
Liton Das,Imrul Kayes,76
Liton Das,Mominul Haque,153
Mominul Haque,Liton Das,107
Mominul Haque,Mushfiqur Rahim,596
Mushfiqur Rahim,Mominul Haque,580
Mehedi Hasan Miraz,Shafiul Islam,24
Shafiul Islam,Mehedi Hasan Miraz,11
Shafiul Islam,Mustafizur Rahman,15
Mustafizur Rahman,Shafiul Islam,10
Mushfiqur Rahim,Imrul Kayes,39
Imrul Kayes,Mushfiqur Rahim,63
Mahmudullah,Liton Das,122
Liton Das,Mahmudullah,119
Liton Das,Sabbir Rahman,5
Sabbir Rahman,Liton Das,4
Mustafizur Rahman,Mehedi Hasan Miraz,1
Mehedi Hasan Miraz,Mustafizur Rahman,35
Soumya Sarkar,Imrul Kayes,85
Imrul Kayes,Soumya Sarkar,48
Liton Das,Taijul Islam,72
Taijul Islam,Liton Das,32
Liton Das,Rubel Hossain,41
Rubel Hossain,Liton Das,13
Rubel Hossain,Mustafizur Rahman,0
Mustafizur Rahman,Rubel Hossain,0
Rubel Hossain,Subashis Roy,9
Subashis Roy,Rubel Hossain,6
Rubel Hossain,Taijul Islam,0
Taijul Islam,Rubel Hossain,0
Subashis Roy,Mustafizur Rahman,8
Mustafizur Rahman,Subashis Roy,11
Soumya Sarkar,Mushfiqur Rahim,43
Mushfiqur Rahim,Soumya Sarkar,34
Mushfiqur Rahim,Liton Das,106
Liton Das,Mushfiqur Rahim,159
Mushfiqur Rahim,Subashis Roy,10
Subashis Roy,Mushfiqur Rahim,0
Liton Das,Mehedi Hasan Miraz,9
Mehedi Hasan Miraz,Liton Das,37
