striker,non_striker,runs
BM Duckett,AN Cook,91
AN Cook,BM Duckett,57
AN Cook,JE Root,1143
JE Root,AN Cook,1252
JE Root,GS Ballance,400
GS Ballance,JE Root,297
MM Ali,JE Root,460
JE Root,MM Ali,575
MM Ali,BA Stokes,243
BA Stokes,MM Ali,229
MM Ali,JM Bairstow,481
JM Bairstow,MM Ali,574
CR Woakes,JM Bairstow,326
JM Bairstow,CR Woakes,298
AU Rashid,CR Woakes,59
CR Woakes,AU Rashid,67
AU Rashid,SCJ Broad,87
SCJ Broad,AU Rashid,86
SCJ Broad,GJ Batty,3
GJ Batty,SCJ Broad,1
BM Duckett,JE Root,18
JE Root,BM Duckett,30
BM Duckett,GS Ballance,1
GS Ballance,BM Duckett,0
GS Ballance,MM Ali,108
MM Ali,GS Ballance,87
BA Stokes,JM Bairstow,928
JM Bairstow,BA Stokes,798
BA Stokes,CR Woakes,92
CR Woakes,BA Stokes,77
CR Woakes,SCJ Broad,106
SCJ Broad,CR Woakes,91
CR Woakes,GJ Batty,3
GJ Batty,CR Woakes,3
JE Root,BA Stokes,617
BA Stokes,JE Root,660
JE Root,JM Bairstow,663
JM Bairstow,JE Root,629
JE Root,ZS Ansari,11
ZS Ansari,JE Root,13
CR Woakes,JE Root,72
JE Root,CR Woakes,64
AU Rashid,ST Finn,1
ST Finn,AU Rashid,0
AN Cook,GS Ballance,391
GS Ballance,AN Cook,435
AN Cook,MM Ali,260
MM Ali,AN Cook,272
BA Stokes,AN Cook,408
AN Cook,BA Stokes,230
CR Woakes,ZS Ansari,0
ZS Ansari,CR Woakes,0
ST Finn,CR Woakes,9
CR Woakes,ST Finn,9
KK Jennings,AN Cook,317
AN Cook,KK Jennings,347
KK Jennings,GS Ballance,0
GS Ballance,KK Jennings,3
MM Ali,LA Dawson,26
LA Dawson,MM Ali,17
MM Ali,SCJ Broad,270
SCJ Broad,MM Ali,167
SCJ Broad,MA Wood,88
MA Wood,SCJ Broad,62
JM Anderson,SCJ Broad,146
SCJ Broad,JM Anderson,336
LA Dawson,JM Bairstow,0
JM Bairstow,LA Dawson,1
SCJ Broad,JM Bairstow,135
JM Bairstow,SCJ Broad,105
JM Bairstow,MA Wood,59
MA Wood,JM Bairstow,89
JM Bairstow,JM Anderson,78
JM Anderson,JM Bairstow,15
LA Dawson,SCJ Broad,9
SCJ Broad,LA Dawson,24
LA Dawson,MA Wood,0
MA Wood,LA Dawson,0
MA Wood,JM Anderson,22
JM Anderson,MA Wood,13
AN Cook,JM Bairstow,139
JM Bairstow,AN Cook,176
BA Stokes,LA Dawson,1
LA Dawson,BA Stokes,3
LA Dawson,JM Anderson,0
JM Anderson,LA Dawson,0
AN Cook,T Westley,78
T Westley,AN Cook,66
AN Cook,DJ Malan,130
DJ Malan,AN Cook,100
BA Stokes,TS Roland-Jones,11
TS Roland-Jones,BA Stokes,25
BA Stokes,SCJ Broad,40
SCJ Broad,BA Stokes,29
BA Stokes,JM Anderson,27
JM Anderson,BA Stokes,1
KK Jennings,T Westley,35
T Westley,KK Jennings,37
JE Root,T Westley,46
T Westley,JE Root,35
DJ Malan,JE Root,277
JE Root,DJ Malan,409
BA Stokes,DJ Malan,103
DJ Malan,BA Stokes,55
TS Roland-Jones,JM Bairstow,27
JM Bairstow,TS Roland-Jones,37
JE Root,KK Jennings,148
KK Jennings,JE Root,121
TS Roland-Jones,MM Ali,15
MM Ali,TS Roland-Jones,47
MM Ali,JM Anderson,76
JM Anderson,MM Ali,21
MD Stoneman,AN Cook,201
AN Cook,MD Stoneman,159
TS Roland-Jones,AN Cook,6
AN Cook,TS Roland-Jones,2
MD Stoneman,T Westley,45
T Westley,MD Stoneman,55
MD Stoneman,JE Root,117
JE Root,MD Stoneman,140
CR Woakes,JM Anderson,36
JM Anderson,CR Woakes,17
DJ Malan,JM Bairstow,154
JM Bairstow,DJ Malan,154
MM Ali,CR Woakes,221
CR Woakes,MM Ali,215
TS Roland-Jones,SCJ Broad,9
SCJ Broad,TS Roland-Jones,16
H Hameed,AN Cook,143
AN Cook,H Hameed,184
H Hameed,JE Root,27
JE Root,H Hameed,89
BA Stokes,AU Rashid,28
AU Rashid,BA Stokes,34
ZS Ansari,BA Stokes,18
BA Stokes,ZS Ansari,34
ZS Ansari,SCJ Broad,14
SCJ Broad,ZS Ansari,6
AU Rashid,ZS Ansari,5
ZS Ansari,AU Rashid,4
AU Rashid,JM Anderson,19
JM Anderson,AU Rashid,11
AU Rashid,JM Bairstow,4
JM Bairstow,AU Rashid,11
JM Bairstow,ZS Ansari,14
ZS Ansari,JM Bairstow,0
JC Buttler,JM Bairstow,143
JM Bairstow,JC Buttler,125
GJ Batty,AU Rashid,0
AU Rashid,GJ Batty,2
GJ Batty,JM Anderson,1
JM Anderson,GJ Batty,13
JE Root,GJ Batty,0
GJ Batty,JE Root,0
JE Root,JC Buttler,305
JC Buttler,JE Root,300
H Hameed,CR Woakes,13
CR Woakes,H Hameed,30
H Hameed,AU Rashid,0
AU Rashid,H Hameed,0
H Hameed,JM Anderson,36
JM Anderson,H Hameed,5
KK Jennings,MM Ali,48
MM Ali,KK Jennings,62
JM Bairstow,KK Jennings,8
KK Jennings,JM Bairstow,6
BA Stokes,JC Buttler,439
JC Buttler,BA Stokes,485
CR Woakes,JC Buttler,202
JC Buttler,CR Woakes,217
JC Buttler,AU Rashid,45
AU Rashid,JC Buttler,28
JT Ball,JC Buttler,31
JC Buttler,JT Ball,23
JC Buttler,JM Anderson,116
JM Anderson,JC Buttler,18
JM Bairstow,JT Ball,0
JT Ball,JM Bairstow,2
MM Ali,JC Buttler,138
JC Buttler,MM Ali,157
LA Dawson,AU Rashid,45
AU Rashid,LA Dawson,60
LA Dawson,JT Ball,10
JT Ball,LA Dawson,12
JC Buttler,LA Dawson,2
LA Dawson,JC Buttler,0
JC Buttler,SCJ Broad,108
SCJ Broad,JC Buttler,79
MD Stoneman,JM Vince,148
JM Vince,MD Stoneman,188
JM Vince,JE Root,152
JE Root,JM Vince,182
DJ Malan,MM Ali,79
MM Ali,DJ Malan,70
JT Ball,SCJ Broad,15
SCJ Broad,JT Ball,2
JT Ball,JM Anderson,0
JM Anderson,JT Ball,0
JM Vince,AN Cook,95
AN Cook,JM Vince,103
CR Woakes,C Overton,31
C Overton,CR Woakes,46
C Overton,SCJ Broad,17
