striker,non_striker,runs
S Dhawan,M Vijay,975
M Vijay,S Dhawan,698
S Dhawan,CA Pujara,499
CA Pujara,S Dhawan,363
S Dhawan,V Kohli,321
V Kohli,S Dhawan,298
V Kohli,AM Rahane,1752
AM Rahane,V Kohli,1440
V Kohli,R Ashwin,333
R Ashwin,V Kohli,335
R Ashwin,WP Saha,332
WP Saha,R Ashwin,313
A Mishra,R Ashwin,71
R Ashwin,A Mishra,70
Mohammed Shami,A Mishra,17
A Mishra,Mohammed Shami,23
S Dhawan,KL Rahul,363
KL Rahul,S Dhawan,366
KL Rahul,CA Pujara,352
CA Pujara,KL Rahul,257
V Kohli,KL Rahul,225
KL Rahul,V Kohli,231
AM Rahane,R Ashwin,193
R Ashwin,AM Rahane,153
AM Rahane,WP Saha,111
WP Saha,AM Rahane,93
AM Rahane,A Mishra,26
A Mishra,AM Rahane,27
AM Rahane,Mohammed Shami,44
Mohammed Shami,AM Rahane,13
AM Rahane,UT Yadav,23
UT Yadav,AM Rahane,19
KL Rahul,AM Rahane,221
AM Rahane,KL Rahul,153
AM Rahane,RG Sharma,452
RG Sharma,AM Rahane,456
R Ashwin,RA Jadeja,124
RA Jadeja,R Ashwin,151
R Ashwin,B Kumar,88
B Kumar,R Ashwin,69
Mohammed Shami,R Ashwin,17
R Ashwin,Mohammed Shami,34
Mohammed Shami,I Sharma,49
I Sharma,Mohammed Shami,17
AM Rahane,S Dhawan,24
S Dhawan,AM Rahane,24
AM Rahane,RA Jadeja,72
RA Jadeja,AM Rahane,92
M Vijay,KL Rahul,264
KL Rahul,M Vijay,389
CA Pujara,M Vijay,1353
M Vijay,CA Pujara,1338
M Vijay,V Kohli,475
V Kohli,M Vijay,621
M Vijay,AM Rahane,252
AM Rahane,M Vijay,256
R Ashwin,RG Sharma,206
RG Sharma,R Ashwin,208
RA Jadeja,Mohammed Shami,80
Mohammed Shami,RA Jadeja,29
RA Jadeja,UT Yadav,133
UT Yadav,RA Jadeja,82
CA Pujara,V Kohli,1279
V Kohli,CA Pujara,1480
CA Pujara,AM Rahane,606
AM Rahane,CA Pujara,591
RG Sharma,RA Jadeja,174
RA Jadeja,RG Sharma,109
RA Jadeja,WP Saha,301
WP Saha,RA Jadeja,250
WP Saha,B Kumar,18
B Kumar,WP Saha,29
WP Saha,Mohammed Shami,33
Mohammed Shami,WP Saha,40
RG Sharma,V Kohli,355
V Kohli,RG Sharma,475
RG Sharma,WP Saha,127
WP Saha,RG Sharma,93
G Gambhir,M Vijay,63
M Vijay,G Gambhir,63
G Gambhir,CA Pujara,130
CA Pujara,G Gambhir,130
A Mishra,V Kohli,0
V Kohli,A Mishra,1
R Ashwin,UT Yadav,130
UT Yadav,R Ashwin,46
WP Saha,V Kohli,104
V Kohli,WP Saha,175
V Kohli,RA Jadeja,320
RA Jadeja,V Kohli,253
R Ashwin,J Yadav,35
J Yadav,R Ashwin,27
J Yadav,UT Yadav,35
UT Yadav,J Yadav,15
Mohammed Shami,UT Yadav,43
UT Yadav,Mohammed Shami,20
RA Jadeja,J Yadav,49
J Yadav,RA Jadeja,43
J Yadav,Mohammed Shami,19
Mohammed Shami,J Yadav,19
PA Patel,M Vijay,49
M Vijay,PA Patel,13
PA Patel,CA Pujara,78
CA Pujara,PA Patel,77
V Kohli,KK Nair,4
KK Nair,V Kohli,17
PA Patel,V Kohli,44
V Kohli,PA Patel,29
J Yadav,V Kohli,104
V Kohli,J Yadav,129
V Kohli,B Kumar,82
B Kumar,V Kohli,26
B Kumar,UT Yadav,9
UT Yadav,B Kumar,7
PA Patel,KL Rahul,71
KL Rahul,PA Patel,79
KL Rahul,KK Nair,103
KK Nair,KL Rahul,95
KK Nair,M Vijay,34
M Vijay,KK Nair,29
KK Nair,R Ashwin,113
R Ashwin,KK Nair,67
KK Nair,RA Jadeja,83
RA Jadeja,KK Nair,51
UT Yadav,KK Nair,1
KK Nair,UT Yadav,4
CA Pujara,RA Jadeja,21
RA Jadeja,CA Pujara,19
I Sharma,UT Yadav,18
UT Yadav,I Sharma,69
CA Pujara,R Ashwin,166
R Ashwin,CA Pujara,168
CA Pujara,WP Saha,116
WP Saha,CA Pujara,122
J Yadav,I Sharma,0
I Sharma,J Yadav,0
A Mukund,KL Rahul,16
KL Rahul,A Mukund,32
KL Rahul,R Ashwin,7
R Ashwin,KL Rahul,7
KL Rahul,WP Saha,3
WP Saha,KL Rahul,1
KL Rahul,RA Jadeja,3
RA Jadeja,KL Rahul,3
KL Rahul,UT Yadav,1
UT Yadav,KL Rahul,0
CA Pujara,KK Nair,17
KK Nair,CA Pujara,23
WP Saha,UT Yadav,15
UT Yadav,WP Saha,6
WP Saha,I Sharma,48
I Sharma,WP Saha,9
RA Jadeja,I Sharma,51
I Sharma,RA Jadeja,28
KK Nair,AM Rahane,5
AM Rahane,KK Nair,5
WP Saha,Kuldeep Yadav,0
Kuldeep Yadav,WP Saha,0
Kuldeep Yadav,UT Yadav,7
UT Yadav,Kuldeep Yadav,2
A Mukund,S Dhawan,17
S Dhawan,A Mukund,28
R Ashwin,HH Pandya,40
HH Pandya,R Ashwin,53
HH Pandya,RA Jadeja,51
RA Jadeja,HH Pandya,35
HH Pandya,Mohammed Shami,66
Mohammed Shami,HH Pandya,41
HH Pandya,UT Yadav,76
UT Yadav,HH Pandya,14
CA Pujara,A Mukund,15
A Mukund,CA Pujara,22
A Mukund,V Kohli,54
V Kohli,A Mukund,76
WP Saha,HH Pandya,26
HH Pandya,WP Saha,36
HH Pandya,Kuldeep Yadav,34
Kuldeep Yadav,HH Pandya,26
V Kohli,KD Karthik,13
KD Karthik,V Kohli,20
V Kohli,HH Pandya,92
HH Pandya,V Kohli,70
V Kohli,Mohammed Shami,46
Mohammed Shami,V Kohli,24
V Kohli,I Sharma,77
I Sharma,V Kohli,32
V Kohli,UT Yadav,61
UT Yadav,V Kohli,1
I Sharma,HH Pandya,11
HH Pandya,I Sharma,6
AM Rahane,HH Pandya,24
HH Pandya,AM Rahane,50
AM Rahane,KD Karthik,0
KD Karthik,AM Rahane,1
R Ashwin,Kuldeep Yadav,23
Kuldeep Yadav,R Ashwin,6
HH Pandya,KD Karthik,5
KD Karthik,HH Pandya,1
R Ashwin,I Sharma,115
I Sharma,R Ashwin,43
RR Pant,HH Pandya,22
HH Pandya,RR Pant,6
R Ashwin,RR Pant,18
RR Pant,R Ashwin,18
I Sharma,JJ Bumrah,11
JJ Bumrah,I Sharma,2
AM Rahane,RR Pant,89
RR Pant,AM Rahane,161
CA Pujara,RR Pant,73
RR Pant,CA Pujara,71
CA Pujara,HH Pandya,4
HH Pandya,CA Pujara,4
CA Pujara,Mohammed Shami,34
Mohammed Shami,CA Pujara,6
I Sharma,CA Pujara,24
CA Pujara,I Sharma,43
JJ Bumrah,CA Pujara,6
CA Pujara,JJ Bumrah,36
JJ Bumrah,R Ashwin,0
R Ashwin,JJ Bumrah,21
V Kohli,GH Vihari,77
GH Vihari,V Kohli,54
GH Vihari,RR Pant,51
RR Pant,GH Vihari,55
GH Vihari,RA Jadeja,69
RA Jadeja,GH Vihari,67
RA Jadeja,JJ Bumrah,63
JJ Bumrah,RA Jadeja,8
KL Rahul,GH Vihari,1
GH Vihari,KL Rahul,0
KL Rahul,RR Pant,75
RR Pant,KL Rahul,113
RR Pant,RA Jadeja,151
RA Jadeja,RR Pant,91
Mohammed Shami,JJ Bumrah,20
JJ Bumrah,Mohammed Shami,12
CA Pujara,RG Sharma,155
RG Sharma,CA Pujara,193
HH Pandya,B Kumar,69
B Kumar,HH Pandya,25
B Kumar,Mohammed Shami,98
Mohammed Shami,B Kumar,99
B Kumar,JJ Bumrah,16
JJ Bumrah,B Kumar,0
V Kohli,JJ Bumrah,1
JJ Bumrah,V Kohli,0
PA Patel,RG Sharma,9
RG Sharma,PA Patel,7
RG Sharma,HH Pandya,12
HH Pandya,RG Sharma,6
RG Sharma,Mohammed Shami,92
Mohammed Shami,RG Sharma,35
PA Patel,HH Pandya,0
HH Pandya,PA Patel,0
B Kumar,I Sharma,73
I Sharma,B Kumar,20
AM Rahane,B Kumar,85
B Kumar,AM Rahane,81
CA Pujara,KD Karthik,7
KD Karthik,CA Pujara,3
AM Rahane,I Sharma,23
I Sharma,AM Rahane,9
V Kohli,RR Pant,48
RR Pant,V Kohli,105
Mohammed Shami,RR Pant,2
RR Pant,Mohammed Shami,7
RR Pant,I Sharma,16
I Sharma,RR Pant,13
RR Pant,UT Yadav,39
UT Yadav,RR Pant,4
UT Yadav,JJ Bumrah,0
JJ Bumrah,UT Yadav,4
AM Rahane,GH Vihari,196
GH Vihari,AM Rahane,206
MA Agarwal,GH Vihari,42
GH Vihari,MA Agarwal,21
MA Agarwal,CA Pujara,290
CA Pujara,MA Agarwal,212
RR Pant,RG Sharma,39
RG Sharma,RR Pant,37
MA Agarwal,V Kohli,114
V Kohli,MA Agarwal,72
AM Rahane,MA Agarwal,125
MA Agarwal,AM Rahane,167
MA Agarwal,RG Sharma,192
RG Sharma,MA Agarwal,228
MA Agarwal,RR Pant,17
RR Pant,MA Agarwal,17
KL Rahul,MA Agarwal,41
MA Agarwal,KL Rahul,39
CA Pujara,GH Vihari,80
GH Vihari,CA Pujara,97
KL Rahul,PP Shaw,37
PP Shaw,KL Rahul,78
CA Pujara,PP Shaw,112
PP Shaw,CA Pujara,182
V Kohli,PP Shaw,4
PP Shaw,V Kohli,18
RA Jadeja,Kuldeep Yadav,14
Kuldeep Yadav,RA Jadeja,12
R Ashwin,SN Thakur,24
SN Thakur,R Ashwin,4
RA Jadeja,MA Agarwal,38
MA Agarwal,RA Jadeja,90
UT Yadav,S Nadeem,18
S Nadeem,UT Yadav,0
S Nadeem,Mohammed Shami,1
Mohammed Shami,S Nadeem,10
MA Agarwal,PP Shaw,23
PP Shaw,MA Agarwal,57
CA Pujara,UT Yadav,14
UT Yadav,CA Pujara,5
UT Yadav,GH Vihari,0
GH Vihari,UT Yadav,5
I Sharma,GH Vihari,57
GH Vihari,I Sharma,47
Mohammed Shami,GH Vihari,0
GH Vihari,Mohammed Shami,2
GH Vihari,JJ Bumrah,0
JJ Bumrah,GH Vihari,0
R Dravid,W Jaffer,33
W Jaffer,R Dravid,20
R Dravid,VVS Laxman,511
VVS Laxman,R Dravid,660
SR Tendulkar,VVS Laxman,782
VVS Laxman,SR Tendulkar,761
SC Ganguly,SR Tendulkar,165
SR Tendulkar,SC Ganguly,185
Yuvraj Singh,SR Tendulkar,175
SR Tendulkar,Yuvraj Singh,219
SR Tendulkar,MS Dhoni,339
MS Dhoni,SR Tendulkar,307
A Kumble,SR Tendulkar,9
SR Tendulkar,A Kumble,27
SR Tendulkar,Harbhajan Singh,127
Harbhajan Singh,SR Tendulkar,138
SR Tendulkar,RP Singh,13
RP Singh,SR Tendulkar,13
SR Tendulkar,I Sharma,34
I Sharma,SR Tendulkar,28
R Dravid,SR Tendulkar,765
SR Tendulkar,R Dravid,1052
R Dravid,SC Ganguly,116
SC Ganguly,R Dravid,122
SC Ganguly,Yuvraj Singh,31
Yuvraj Singh,SC Ganguly,32
SC Ganguly,MS Dhoni,253
MS Dhoni,SC Ganguly,250
MS Dhoni,A Kumble,21
A Kumble,MS Dhoni,27
A Kumble,Harbhajan Singh,75
Harbhajan Singh,A Kumble,83
A Kumble,RP Singh,2
RP Singh,A Kumble,0
A Kumble,I Sharma,40
I Sharma,A Kumble,16
V Sehwag,W Jaffer,240
W Jaffer,V Sehwag,136
MS Dhoni,VVS Laxman,428
VVS Laxman,MS Dhoni,323
MS Dhoni,IK Pathan,25
IK Pathan,MS Dhoni,52
IK Pathan,A Kumble,1
A Kumble,IK Pathan,6
RP Singh,I Sharma,0
I Sharma,RP Singh,0
V Sehwag,IK Pathan,38
IK Pathan,V Sehwag,21
IK Pathan,R Dravid,0
R Dravid,IK Pathan,3
IK Pathan,SR Tendulkar,15
SR Tendulkar,IK Pathan,13
IK Pathan,SC Ganguly,9
SC Ganguly,IK Pathan,0
IK Pathan,VVS Laxman,10
VVS Laxman,IK Pathan,19
VVS Laxman,A Kumble,80
A Kumble,VVS Laxman,58
VVS Laxman,RP Singh,23
RP Singh,VVS Laxman,30
VVS Laxman,I Sharma,125
I Sharma,VVS Laxman,84
V Sehwag,R Dravid,941
R Dravid,V Sehwag,454
V Sehwag,SR Tendulkar,316
SR Tendulkar,V Sehwag,247
SC Ganguly,V Sehwag,18
V Sehwag,SC Ganguly,12
V Sehwag,VVS Laxman,127
VVS Laxman,V Sehwag,77
MS Dhoni,V Sehwag,20
V Sehwag,MS Dhoni,20
A Kumble,V Sehwag,8
V Sehwag,A Kumble,35
VVS Laxman,Harbhajan Singh,92
Harbhajan Singh,VVS Laxman,160
VVS Laxman,S Sreesanth,10
S Sreesanth,VVS Laxman,4
R Dravid,MS Dhoni,258
MS Dhoni,R Dravid,303
IK Pathan,Harbhajan Singh,9
Harbhajan Singh,IK Pathan,5
IK Pathan,RP Singh,25
RP Singh,IK Pathan,8
IK Pathan,S Sreesanth,5
S Sreesanth,IK Pathan,17
W Jaffer,VVS Laxman,0
VVS Laxman,W Jaffer,6
SC Ganguly,VVS Laxman,104
VVS Laxman,SC Ganguly,94
SC Ganguly,Harbhajan Singh,26
Harbhajan Singh,SC Ganguly,31
SC Ganguly,PP Chawla,7
PP Chawla,SC Ganguly,4
S Sreesanth,SC Ganguly,0
SC Ganguly,S Sreesanth,0
I Sharma,S Sreesanth,28
S Sreesanth,I Sharma,42
W Jaffer,SC Ganguly,0
SC Ganguly,W Jaffer,0
V Sehwag,G Gambhir,1941
G Gambhir,V Sehwag,1309
G Gambhir,R Dravid,1119
R Dravid,G Gambhir,853
VVS Laxman,KD Karthik,31
KD Karthik,VVS Laxman,42
VVS Laxman,Z Khan,59
Z Khan,VVS Laxman,80
G Gambhir,VVS Laxman,261
VVS Laxman,G Gambhir,312
G Gambhir,SR Tendulkar,359
SR Tendulkar,G Gambhir,469
R Dravid,KD Karthik,0
KD Karthik,R Dravid,0
KD Karthik,A Kumble,0
A Kumble,KD Karthik,0
Harbhajan Singh,Z Khan,128
Z Khan,Harbhajan Singh,81
Harbhajan Singh,I Sharma,20
I Sharma,Harbhajan Singh,8
KD Karthik,V Sehwag,7
V Sehwag,KD Karthik,5
V Sehwag,Harbhajan Singh,0
Harbhajan Singh,V Sehwag,1
V Sehwag,Z Khan,3
Z Khan,V Sehwag,2
I Sharma,V Sehwag,0
V Sehwag,I Sharma,6
SC Ganguly,KD Karthik,11
KD Karthik,SC Ganguly,20
SC Ganguly,A Kumble,0
A Kumble,SC Ganguly,0
G Gambhir,SC Ganguly,14
SC Ganguly,G Gambhir,35
VVS Laxman,PA Patel,22
PA Patel,VVS Laxman,11
PA Patel,A Kumble,2
A Kumble,PA Patel,1
Z Khan,I Sharma,122
I Sharma,Z Khan,39
R Dravid,PA Patel,0
PA Patel,R Dravid,1
Z Khan,A Kumble,18
A Kumble,Z Khan,5
SC Ganguly,I Sharma,11
I Sharma,SC Ganguly,9
Harbhajan Singh,MS Dhoni,259
MS Dhoni,Harbhajan Singh,220
MS Dhoni,Z Khan,116
Z Khan,MS Dhoni,70
A Mishra,MS Dhoni,26
MS Dhoni,A Mishra,21
G Gambhir,MS Dhoni,32
MS Dhoni,G Gambhir,30
G Gambhir,I Sharma,5
I Sharma,G Gambhir,6
M Vijay,V Sehwag,318
V Sehwag,M Vijay,527
Harbhajan Singh,A Mishra,7
A Mishra,Harbhajan Singh,8
A Mishra,I Sharma,34
I Sharma,A Mishra,17
Yuvraj Singh,MS Dhoni,130
MS Dhoni,Yuvraj Singh,119
VVS Laxman,Yuvraj Singh,214
Yuvraj Singh,VVS Laxman,198
Z Khan,A Mishra,7
A Mishra,Z Khan,21
G Gambhir,Yuvraj Singh,61
Yuvraj Singh,G Gambhir,94
G Gambhir,Harbhajan Singh,16
Harbhajan Singh,G Gambhir,11
Z Khan,MM Patel,19
MM Patel,Z Khan,9
R Dravid,Yuvraj Singh,124
Yuvraj Singh,R Dravid,162
MM Patel,I Sharma,19
I Sharma,MM Patel,17
I Sharma,R Dravid,64
R Dravid,I Sharma,90
R Dravid,Harbhajan Singh,30
Harbhajan Singh,R Dravid,22
G Gambhir,A Mishra,59
A Mishra,G Gambhir,74
Yuvraj Singh,Harbhajan Singh,17
Harbhajan Singh,Yuvraj Singh,7
Yuvraj Singh,Z Khan,1
Z Khan,Yuvraj Singh,1
Z Khan,S Sreesanth,10
S Sreesanth,Z Khan,4
S Sreesanth,PP Ojha,4
PP Ojha,S Sreesanth,3
S Sreesanth,MS Dhoni,13
MS Dhoni,S Sreesanth,39
MS Dhoni,PP Ojha,94
PP Ojha,MS Dhoni,6
SR Tendulkar,KD Karthik,1
KD Karthik,SR Tendulkar,0
SR Tendulkar,A Mishra,72
A Mishra,SR Tendulkar,98
Z Khan,SR Tendulkar,26
SR Tendulkar,Z Khan,41
SR Tendulkar,S Sreesanth,15
S Sreesanth,SR Tendulkar,4
SR Tendulkar,M Vijay,280
M Vijay,SR Tendulkar,265
M Vijay,MS Dhoni,102
MS Dhoni,M Vijay,104
I Sharma,MS Dhoni,25
MS Dhoni,I Sharma,158
V Sehwag,S Badrinath,82
S Badrinath,V Sehwag,35
S Badrinath,MS Dhoni,21
MS Dhoni,S Badrinath,6
S Badrinath,WP Saha,0
WP Saha,S Badrinath,0
WP Saha,Harbhajan Singh,20
Harbhajan Singh,WP Saha,54
SR Tendulkar,S Badrinath,19
S Badrinath,SR Tendulkar,6
MS Dhoni,WP Saha,11
WP Saha,MS Dhoni,2
WP Saha,Z Khan,26
Z Khan,WP Saha,33
WP Saha,A Mishra,31
A Mishra,WP Saha,36
VVS Laxman,S Badrinath,0
S Badrinath,VVS Laxman,1
A Mishra,VVS Laxman,28
VVS Laxman,A Mishra,17
I Sharma,PP Ojha,30
PP Ojha,I Sharma,35
I Sharma,A Mithun,11
A Mithun,I Sharma,24
A Mithun,VVS Laxman,25
VVS Laxman,A Mithun,21
M Vijay,R Dravid,58
R Dravid,M Vijay,43
SR Tendulkar,SK Raina,249
SK Raina,SR Tendulkar,254
MS Dhoni,A Mithun,39
A Mithun,MS Dhoni,37
VVS Laxman,SK Raina,219
SK Raina,VVS Laxman,173
SK Raina,MS Dhoni,117
MS Dhoni,SK Raina,86
A Mithun,A Mishra,34
A Mishra,A Mithun,27
MS Dhoni,JD Unadkat,18
JD Unadkat,MS Dhoni,1
SR Tendulkar,JD Unadkat,2
JD Unadkat,SR Tendulkar,1
CA Pujara,VVS Laxman,12
VVS Laxman,CA Pujara,31
MS Dhoni,CA Pujara,123
CA Pujara,MS Dhoni,139
CA Pujara,SR Tendulkar,244
SR Tendulkar,CA Pujara,227
SK Raina,Harbhajan Singh,87
Harbhajan Singh,SK Raina,88
Z Khan,SK Raina,6
SK Raina,Z Khan,11
VVS Laxman,PP Ojha,4
PP Ojha,VVS Laxman,5
Harbhajan Singh,PP Ojha,85
PP Ojha,Harbhajan Singh,18
Harbhajan Singh,S Sreesanth,86
S Sreesanth,Harbhajan Singh,26
R Dravid,SK Raina,80
SK Raina,R Dravid,54
G Gambhir,A Mukund,15
A Mukund,G Gambhir,41
A Mukund,R Dravid,88
R Dravid,A Mukund,80
R Dravid,P Kumar,14
P Kumar,R Dravid,17
Z Khan,R Dravid,0
R Dravid,Z Khan,7
SK Raina,P Kumar,12
P Kumar,SK Raina,6
VVS Laxman,A Mukund,38
A Mukund,VVS Laxman,57
SR Tendulkar,A Mukund,17
A Mukund,SR Tendulkar,1
Harbhajan Singh,P Kumar,18
P Kumar,Harbhajan Singh,4
P Kumar,I Sharma,34
I Sharma,P Kumar,6
MS Dhoni,P Kumar,86
P Kumar,MS Dhoni,87
R Dravid,A Mishra,58
A Mishra,R Dravid,71
R Dravid,RP Singh,11
RP Singh,R Dravid,25
R Dravid,S Sreesanth,0
S Sreesanth,R Dravid,0
G Gambhir,RP Singh,0
RP Singh,G Gambhir,0
M Vijay,A Mukund,16
A Mukund,M Vijay,24
R Dravid,V Kohli,49
V Kohli,R Dravid,71
SK Raina,A Mishra,2
A Mishra,SK Raina,6
SK Raina,I Sharma,0
I Sharma,SK Raina,0
M Vijay,VVS Laxman,9
VVS Laxman,M Vijay,17
VVS Laxman,V Kohli,158
V Kohli,VVS Laxman,162
VVS Laxman,P Kumar,1
P Kumar,VVS Laxman,0
P Kumar,A Mithun,1
A Mithun,P Kumar,0
R Ashwin,Z Khan,36
