striker,non_striker,runs
WTS Porterfield,EC Joyce,25
EC Joyce,WTS Porterfield,47
WTS Porterfield,A Balbirnie,0
A Balbirnie,WTS Porterfield,4
WTS Porterfield,NJ O'Brien,7
NJ O'Brien,WTS Porterfield,18
NJ O'Brien,PR Stirling,0
PR Stirling,NJ O'Brien,2
PR Stirling,KJ O'Brien,26
KJ O'Brien,PR Stirling,35
KJ O'Brien,SR Thompson,80
SR Thompson,KJ O'Brien,57
KJ O'Brien,TE Kane,30
TE Kane,KJ O'Brien,10
KJ O'Brien,GC Wilson,20
GC Wilson,KJ O'Brien,20
GC Wilson,WB Rankin,7
WB Rankin,GC Wilson,17
TJ Murtagh,GC Wilson,5
GC Wilson,TJ Murtagh,18
WTS Porterfield,PR Stirling,10
PR Stirling,WTS Porterfield,26
TE Kane,WB Rankin,2
WB Rankin,TE Kane,6
TE Kane,TJ Murtagh,2
TJ Murtagh,TE Kane,5
JA McCollum,WTS Porterfield,18
WTS Porterfield,JA McCollum,16
JA McCollum,A Balbirnie,49
A Balbirnie,JA McCollum,73
A Balbirnie,PR Stirling,69
PR Stirling,A Balbirnie,50
A Balbirnie,KJ O'Brien,0
KJ O'Brien,A Balbirnie,6
KJ O'Brien,MR Adair,5
MR Adair,KJ O'Brien,3
KJ O'Brien,AR McBrine,15
AR McBrine,KJ O'Brien,15
KJ O'Brien,TJ Murtagh,3
TJ Murtagh,KJ O'Brien,16
WB Rankin,KJ O'Brien,7
KJ O'Brien,WB Rankin,1
PR Stirling,JA McCollum,0
JA McCollum,PR Stirling,1
JA McCollum,KJ O'Brien,5
KJ O'Brien,JA McCollum,18
SR Thompson,MR Adair,0
MR Adair,SR Thompson,8
SR Thompson,AR McBrine,4
AR McBrine,SR Thompson,0
AR McBrine,TJ Murtagh,0
TJ Murtagh,AR McBrine,0
TJ Murtagh,WB Rankin,2
WB Rankin,TJ Murtagh,0
KJ O'Brien,SW Poynter,8
SW Poynter,KJ O'Brien,1
SR Thompson,GH Dockrell,3
GH Dockrell,SR Thompson,0
GH Dockrell,AR McBrine,4
AR McBrine,GH Dockrell,3
GH Dockrell,J Cameron-Dow,7
J Cameron-Dow,GH Dockrell,9
GH Dockrell,TJ Murtagh,28
TJ Murtagh,GH Dockrell,54
KJ O'Brien,GH Dockrell,37
GH Dockrell,KJ O'Brien,25
AR McBrine,J Cameron-Dow,0
J Cameron-Dow,AR McBrine,1
J Cameron-Dow,TJ Murtagh,31
TJ Murtagh,J Cameron-Dow,27
