striker,non_striker,runs
TWM Latham,JA Raval,576
JA Raval,TWM Latham,640
TWM Latham,KS Williamson,949
KS Williamson,TWM Latham,1152
LRPL Taylor,TWM Latham,498
TWM Latham,LRPL Taylor,435
TWM Latham,HM Nicholls,376
HM Nicholls,TWM Latham,323
TWM Latham,C de Grandhomme,86
C de Grandhomme,TWM Latham,121
TWM Latham,BJ Watling,184
BJ Watling,TWM Latham,152
BJ Watling,MJ Santner,287
MJ Santner,BJ Watling,309
MJ Santner,TG Southee,11
TG Southee,MJ Santner,39
MJ Santner,N Wagner,12
N Wagner,MJ Santner,18
TA Boult,MJ Santner,4
MJ Santner,TA Boult,23
KS Williamson,LRPL Taylor,1644
LRPL Taylor,KS Williamson,1732
KS Williamson,HM Nicholls,303
HM Nicholls,KS Williamson,299
LRPL Taylor,HM Nicholls,368
HM Nicholls,LRPL Taylor,320
HM Nicholls,MJ Santner,85
MJ Santner,HM Nicholls,62
HM Nicholls,BJ Watling,313
BJ Watling,HM Nicholls,260
HM Nicholls,C de Grandhomme,109
C de Grandhomme,HM Nicholls,141
TG Southee,HM Nicholls,71
HM Nicholls,TG Southee,69
HM Nicholls,N Wagner,49
N Wagner,HM Nicholls,38
N Wagner,TA Boult,181
TA Boult,N Wagner,98
JA Raval,KS Williamson,292
KS Williamson,JA Raval,410
JA Raval,LRPL Taylor,58
LRPL Taylor,JA Raval,103
JA Raval,HM Nicholls,88
HM Nicholls,JA Raval,72
JA Raval,C de Grandhomme,0
C de Grandhomme,JA Raval,4
C de Grandhomme,BJ Watling,448
BJ Watling,C de Grandhomme,247
BJ Watling,TD Astle,4
TD Astle,BJ Watling,17
BJ Watling,TG Southee,210
TG Southee,BJ Watling,416
N Wagner,TG Southee,21
TG Southee,N Wagner,50
MJ Henry,BJ Watling,108
BJ Watling,MJ Henry,73
BJ Watling,N Wagner,75
N Wagner,BJ Watling,42
LRPL Taylor,C de Grandhomme,42
C de Grandhomme,LRPL Taylor,89
LRPL Taylor,BJ Watling,619
BJ Watling,LRPL Taylor,411
KS Williamson,JS Patel,6
JS Patel,KS Williamson,25
KS Williamson,JDS Neesham,79
JDS Neesham,KS Williamson,116
KS Williamson,BJ Watling,588
BJ Watling,KS Williamson,394
N Wagner,LRPL Taylor,66
LRPL Taylor,N Wagner,54
NT Broom,JA Raval,20
JA Raval,NT Broom,25
HM Nicholls,JDS Neesham,12
JDS Neesham,HM Nicholls,15
TG Southee,JS Patel,35
JS Patel,TG Southee,22
N Wagner,JS Patel,6
JS Patel,N Wagner,0
JA Raval,JDS Neesham,0
JDS Neesham,JA Raval,4
BJ Watling,JA Raval,21
JA Raval,BJ Watling,40
JS Patel,BJ Watling,47
BJ Watling,JS Patel,12
KS Williamson,NT Broom,3
NT Broom,KS Williamson,12
KS Williamson,MJ Santner,51
MJ Santner,KS Williamson,40
C de Grandhomme,MJ Henry,22
MJ Henry,C de Grandhomme,12
C de Grandhomme,JS Patel,7
JS Patel,C de Grandhomme,5
C de Grandhomme,N Wagner,0
N Wagner,C de Grandhomme,0
TWM Latham,MJ Guptill,524
MJ Guptill,TWM Latham,605
LRPL Taylor,IS Sodhi,56
IS Sodhi,LRPL Taylor,68
MJ Guptill,KS Williamson,317
KS Williamson,MJ Guptill,371
KS Williamson,L Ronchi,4
L Ronchi,KS Williamson,6
L Ronchi,MJ Santner,106
MJ Santner,L Ronchi,57
BJ Watling,MD Craig,110
MD Craig,BJ Watling,162
BJ Watling,IS Sodhi,77
IS Sodhi,BJ Watling,131
BJ Watling,TA Boult,217
TA Boult,BJ Watling,143
LRPL Taylor,L Ronchi,29
L Ronchi,LRPL Taylor,45
MD Craig,MJ Santner,16
MJ Santner,MD Craig,10
MJ Santner,IS Sodhi,21
IS Sodhi,MJ Santner,6
IS Sodhi,TA Boult,67
TA Boult,IS Sodhi,23
MJ Guptill,HM Nicholls,4
HM Nicholls,MJ Guptill,0
LRPL Taylor,MJ Santner,53
MJ Santner,LRPL Taylor,47
L Ronchi,TWM Latham,102
TWM Latham,L Ronchi,37
L Ronchi,BJ Watling,32
BJ Watling,L Ronchi,23
L Ronchi,MJ Henry,12
MJ Henry,L Ronchi,7
MJ Henry,JS Patel,11
JS Patel,MJ Henry,10
MJ Henry,N Wagner,14
N Wagner,MJ Henry,5
LRPL Taylor,MJ Guptill,508
MJ Guptill,LRPL Taylor,332
MJ Guptill,L Ronchi,15
L Ronchi,MJ Guptill,15
L Ronchi,JDS Neesham,0
JDS Neesham,L Ronchi,0
JDS Neesham,BJ Watling,182
BJ Watling,JDS Neesham,144
MJ Santner,JDS Neesham,22
JDS Neesham,MJ Santner,30
JS Patel,JDS Neesham,10
JDS Neesham,JS Patel,13
TA Boult,MJ Henry,10
MJ Henry,TA Boult,15
MJ Guptill,JDS Neesham,1
JDS Neesham,MJ Guptill,0
MJ Guptill,BJ Watling,58
BJ Watling,MJ Guptill,19
TD Astle,HM Nicholls,18
HM Nicholls,TD Astle,13
TG Southee,IS Sodhi,52
IS Sodhi,TG Southee,21
C de Grandhomme,IS Sodhi,31
IS Sodhi,C de Grandhomme,26
IS Sodhi,N Wagner,39
N Wagner,IS Sodhi,13
MJ Santner,C de Grandhomme,24
C de Grandhomme,MJ Santner,67
C de Grandhomme,TA Blundell,113
TA Blundell,C de Grandhomme,53
TA Blundell,N Wagner,34
N Wagner,TA Blundell,10
TA Blundell,MJ Henry,1
MJ Henry,TA Blundell,4
TA Boult,TA Blundell,18
TA Blundell,TA Boult,52
TA Blundell,TG Southee,16
TG Southee,TA Blundell,9
TG Southee,TA Boult,49
TA Boult,TG Southee,47
LRPL Taylor,TA Blundell,22
TA Blundell,LRPL Taylor,9
TG Southee,LRPL Taylor,63
LRPL Taylor,TG Southee,62
TG Southee,TWM Latham,6
TWM Latham,TG Southee,14
TWM Latham,N Wagner,0
N Wagner,TWM Latham,0
AY Patel,TWM Latham,6
TWM Latham,AY Patel,23
TWM Latham,TA Boult,18
TA Boult,TWM Latham,11
BJ Watling,AY Patel,9
AY Patel,BJ Watling,8
AY Patel,TA Boult,1
TA Boult,AY Patel,43
N Wagner,KS Williamson,80
KS Williamson,N Wagner,28
KS Williamson,C de Grandhomme,40
C de Grandhomme,KS Williamson,76
N Wagner,AY Patel,16
AY Patel,N Wagner,10
AY Patel,IS Sodhi,6
IS Sodhi,AY Patel,16
IS Sodhi,KS Williamson,0
KS Williamson,IS Sodhi,3
KS Williamson,AY Patel,13
AY Patel,KS Williamson,4
KS Williamson,TA Boult,7
TA Boult,KS Williamson,0
HM Nicholls,IS Sodhi,11
IS Sodhi,HM Nicholls,4
WER Somerville,BJ Watling,39
BJ Watling,WER Somerville,60
KS Williamson,WER Somerville,9
WER Somerville,KS Williamson,4
TG Southee,LH Ferguson,3
LH Ferguson,TG Southee,1
TA Blundell,TWM Latham,160
TWM Latham,TA Blundell,140
TWM Latham,MJ Santner,11
MJ Santner,TWM Latham,3
TA Blundell,KS Williamson,20
KS Williamson,TA Blundell,36
HM Nicholls,TA Blundell,33
TA Blundell,HM Nicholls,17
TA Blundell,BJ Watling,50
BJ Watling,TA Blundell,22
TA Blundell,MJ Santner,13
MJ Santner,TA Blundell,27
LRPL Taylor,GD Phillips,22
GD Phillips,LRPL Taylor,6
GD Phillips,BJ Watling,9
BJ Watling,GD Phillips,9
GD Phillips,C de Grandhomme,12
C de Grandhomme,GD Phillips,20
GD Phillips,TD Astle,25
TD Astle,GD Phillips,13
WER Somerville,TD Astle,0
TD Astle,WER Somerville,2
TD Astle,N Wagner,0
N Wagner,TD Astle,0
MJ Henry,TD Astle,3
TD Astle,MJ Henry,10
BJ Watling,DJ Mitchell,53
DJ Mitchell,BJ Watling,63
DJ Mitchell,MJ Santner,10
MJ Santner,DJ Mitchell,5
MJ Santner,MJ Henry,13
MJ Henry,MJ Santner,5
C de Grandhomme,TG Southee,3
TG Southee,C de Grandhomme,6
C de Grandhomme,KA Jamieson,33
KA Jamieson,C de Grandhomme,57
AY Patel,C de Grandhomme,4
C de Grandhomme,AY Patel,10
KA Jamieson,N Wagner,30
N Wagner,KA Jamieson,21
TA Boult,KA Jamieson,1
KA Jamieson,TA Boult,6
TG Southee,WER Somerville,6
WER Somerville,TG Southee,0
TA Boult,WER Somerville,44
WER Somerville,TA Boult,19
WER Somerville,AY Patel,10
AY Patel,WER Somerville,14
AJ Redmond,JM How,104
JM How,AJ Redmond,171
JM How,JAH Marshall,23
JAH Marshall,JM How,21
JAH Marshall,LRPL Taylor,21
LRPL Taylor,JAH Marshall,32
BB McCullum,JAH Marshall,18
JAH Marshall,BB McCullum,10
BB McCullum,DR Flynn,154
DR Flynn,BB McCullum,116
BB McCullum,JDP Oram,115
JDP Oram,BB McCullum,50
JDP Oram,DL Vettori,126
DL Vettori,JDP Oram,141
DL Vettori,KD Mills,77
KD Mills,DL Vettori,37
DL Vettori,TG Southee,35
TG Southee,DL Vettori,18
DL Vettori,CS Martin,64
CS Martin,DL Vettori,11
JM How,LRPL Taylor,90
LRPL Taylor,JM How,66
BB McCullum,JM How,31
JM How,BB McCullum,8
DR Flynn,JDP Oram,22
JDP Oram,DR Flynn,101
DR Flynn,DL Vettori,24
DL Vettori,DR Flynn,32
LRPL Taylor,BB McCullum,758
BB McCullum,LRPL Taylor,651
LRPL Taylor,DR Flynn,250
DR Flynn,LRPL Taylor,173
LRPL Taylor,JDP Oram,85
JDP Oram,LRPL Taylor,67
LRPL Taylor,DL Vettori,128
DL Vettori,LRPL Taylor,153
KD Mills,LRPL Taylor,57
LRPL Taylor,KD Mills,29
LRPL Taylor,IE O'Brien,23
IE O'Brien,LRPL Taylor,5
CS Martin,LRPL Taylor,0
LRPL Taylor,CS Martin,12
KD Mills,JDP Oram,8
JDP Oram,KD Mills,21
KD Mills,IE O'Brien,2
IE O'Brien,KD Mills,6
IE O'Brien,CS Martin,27
CS Martin,IE O'Brien,16
JM How,DR Flynn,0
DR Flynn,JM How,0
JM How,GJ Hopkins,13
GJ Hopkins,JM How,2
GJ Hopkins,JDP Oram,14
JDP Oram,GJ Hopkins,29
