striker,non_striker,runs
Azhar Ali,Sami Aslam,495
Sami Aslam,Azhar Ali,445
Sami Aslam,Babar Azam,61
Babar Azam,Sami Aslam,63
Sami Aslam,Younis Khan,58
Younis Khan,Sami Aslam,55
Sami Aslam,Misbah-ul-Haq,53
Misbah-ul-Haq,Sami Aslam,41
Sami Aslam,Asad Shafiq,8
Asad Shafiq,Sami Aslam,39
Sami Aslam,Sarfraz Ahmed,16
Sarfraz Ahmed,Sami Aslam,8
Sarfraz Ahmed,Wahab Riaz,65
Wahab Riaz,Sarfraz Ahmed,55
Sarfraz Ahmed,Yasir Shah,99
Yasir Shah,Sarfraz Ahmed,87
Sarfraz Ahmed,Mohammad Amir,129
Mohammad Amir,Sarfraz Ahmed,74
Sarfraz Ahmed,Rahat Ali,93
Rahat Ali,Sarfraz Ahmed,26
Azhar Ali,Babar Azam,344
Babar Azam,Azhar Ali,348
Azhar Ali,Younis Khan,1135
Younis Khan,Azhar Ali,1260
Misbah-ul-Haq,Younis Khan,1369
Younis Khan,Misbah-ul-Haq,1495
Younis Khan,Asad Shafiq,716
Asad Shafiq,Younis Khan,691
Asad Shafiq,Sarfraz Ahmed,480
Sarfraz Ahmed,Asad Shafiq,631
Asad Shafiq,Mohammad Amir,55
Mohammad Amir,Asad Shafiq,58
Asad Shafiq,Wahab Riaz,73
Wahab Riaz,Asad Shafiq,70
Asad Shafiq,Yasir Shah,142
Yasir Shah,Asad Shafiq,133
Yasir Shah,Rahat Ali,17
Rahat Ali,Yasir Shah,3
Azhar Ali,Misbah-ul-Haq,536
Misbah-ul-Haq,Azhar Ali,702
Azhar Ali,Asad Shafiq,702
Asad Shafiq,Azhar Ali,728
Sarfraz Ahmed,Azhar Ali,153
Azhar Ali,Sarfraz Ahmed,126
Azhar Ali,Mohammad Amir,34
Mohammad Amir,Azhar Ali,41
Azhar Ali,Sohail Khan,53
Sohail Khan,Azhar Ali,65
Wahab Riaz,Azhar Ali,1
Azhar Ali,Wahab Riaz,7
Sarfraz Ahmed,Sohail Khan,19
Sohail Khan,Sarfraz Ahmed,7
Wahab Riaz,Sohail Khan,0
Sohail Khan,Wahab Riaz,6
Sohail Khan,Yasir Shah,4
Yasir Shah,Sohail Khan,0
Sharjeel Khan,Azhar Ali,44
Azhar Ali,Sharjeel Khan,12
Younis Khan,Sarfraz Ahmed,100
Sarfraz Ahmed,Younis Khan,125
Younis Khan,Mohammad Amir,59
Mohammad Amir,Younis Khan,34
Younis Khan,Wahab Riaz,44
Wahab Riaz,Younis Khan,12
Younis Khan,Yasir Shah,54
Yasir Shah,Younis Khan,12
Younis Khan,Imran Khan (2),0
Imran Khan (2),Younis Khan,0
Yasir Shah,Azhar Ali,49
Azhar Ali,Yasir Shah,27
Babar Azam,Yasir Shah,109
Yasir Shah,Babar Azam,73
Misbah-ul-Haq,Yasir Shah,49
Yasir Shah,Misbah-ul-Haq,39
Misbah-ul-Haq,Asad Shafiq,916
Asad Shafiq,Misbah-ul-Haq,992
Misbah-ul-Haq,Sarfraz Ahmed,288
Sarfraz Ahmed,Misbah-ul-Haq,350
Sarfraz Ahmed,Imran Khan (2),32
Imran Khan (2),Sarfraz Ahmed,0
Younis Khan,Babar Azam,66
Babar Azam,Younis Khan,75
Misbah-ul-Haq,Mohammad Amir,43
Mohammad Amir,Misbah-ul-Haq,31
Misbah-ul-Haq,Sohail Khan,4
Sohail Khan,Misbah-ul-Haq,9
Asad Shafiq,Sohail Khan,8
Sohail Khan,Asad Shafiq,40
Babar Azam,Asad Shafiq,405
Asad Shafiq,Babar Azam,396
Babar Azam,Mohammad Rizwan,124
Mohammad Rizwan,Babar Azam,90
Babar Azam,Sarfraz Ahmed,195
Sarfraz Ahmed,Babar Azam,235
Babar Azam,Sohail Khan,26
Sohail Khan,Babar Azam,37
Babar Azam,Wahab Riaz,1
Wahab Riaz,Babar Azam,0
Babar Azam,Mohammad Amir,17
Mohammad Amir,Babar Azam,6
Babar Azam,Imran Khan (2),4
Imran Khan (2),Babar Azam,6
Younis Khan,Mohammad Rizwan,0
Mohammad Rizwan,Younis Khan,10
Mohammad Rizwan,Sohail Khan,2
Sohail Khan,Mohammad Rizwan,8
Mohammad Rizwan,Mohammad Amir,1
Mohammad Amir,Mohammad Rizwan,0
Mohammad Rizwan,Wahab Riaz,0
Wahab Riaz,Mohammad Rizwan,0
Mohammad Rizwan,Imran Khan (2),0
Imran Khan (2),Mohammad Rizwan,0
Sarfraz Ahmed,Mohammad Nawaz (3),57
Mohammad Nawaz (3),Sarfraz Ahmed,22
Sohail Khan,Mohammad Amir,5
Mohammad Amir,Sohail Khan,10
Mohammad Nawaz (3),Sohail Khan,9
Sohail Khan,Mohammad Nawaz (3),5
Zulfiqar Babar,Sohail Khan,0
Sohail Khan,Zulfiqar Babar,21
Zulfiqar Babar,Rahat Ali,6
Rahat Ali,Zulfiqar Babar,5
Wahab Riaz,Yasir Shah,34
Yasir Shah,Wahab Riaz,35
Yasir Shah,Mohammad Amir,69
Mohammad Amir,Yasir Shah,79
Yasir Shah,Zulfiqar Babar,5
Zulfiqar Babar,Yasir Shah,21
Azhar Ali,Mohammad Nawaz (3),19
Mohammad Nawaz (3),Azhar Ali,19
Mohammad Amir,Wahab Riaz,22
Wahab Riaz,Mohammad Amir,18
Ahmed Shehzad,Azhar Ali,330
Azhar Ali,Ahmed Shehzad,273
Ahmed Shehzad,Babar Azam,24
Babar Azam,Ahmed Shehzad,7
Babar Azam,Misbah-ul-Haq,1
Misbah-ul-Haq,Babar Azam,12
Misbah-ul-Haq,Wahab Riaz,35
Wahab Riaz,Misbah-ul-Haq,38
Misbah-ul-Haq,Mohammad Abbas,31
Mohammad Abbas,Misbah-ul-Haq,1
Asad Shafiq,Shadab Khan,16
Shadab Khan,Asad Shafiq,4
Mohammad Amir,Shadab Khan,38
Shadab Khan,Mohammad Amir,48
Shadab Khan,Yasir Shah,8
Yasir Shah,Shadab Khan,20
Mohammad Abbas,Yasir Shah,32
Yasir Shah,Mohammad Abbas,111
Ahmed Shehzad,Younis Khan,48
