striker,non_striker,runs
JK Silva,FDM Karunaratne,747
FDM Karunaratne,JK Silva,1012
JK Silva,MDKJ Perera,37
MDKJ Perera,JK Silva,97
MDKJ Perera,BKG Mendis,163
BKG Mendis,MDKJ Perera,135
MDKJ Perera,WU Tharanga,12
WU Tharanga,MDKJ Perera,13
WU Tharanga,DM de Silva,79
DM de Silva,WU Tharanga,103
WU Tharanga,DAS Gunaratne,43
DAS Gunaratne,WU Tharanga,54
MDK Perera,WU Tharanga,23
WU Tharanga,MDK Perera,19
HMRKB Herath,WU Tharanga,26
WU Tharanga,HMRKB Herath,39
WU Tharanga,RAS Lakmal,39
RAS Lakmal,WU Tharanga,42
CBRLS Kumara,WU Tharanga,4
WU Tharanga,CBRLS Kumara,7
FDM Karunaratne,MDKJ Perera,59
MDKJ Perera,FDM Karunaratne,62
FDM Karunaratne,BKG Mendis,556
BKG Mendis,FDM Karunaratne,611
FDM Karunaratne,WU Tharanga,209
WU Tharanga,FDM Karunaratne,241
FDM Karunaratne,DM de Silva,268
DM de Silva,FDM Karunaratne,288
DM de Silva,DAS Gunaratne,64
DAS Gunaratne,DM de Silva,48
DAS Gunaratne,MDK Perera,66
MDK Perera,DAS Gunaratne,86
BKG Mendis,JK Silva,257
JK Silva,BKG Mendis,150
BKG Mendis,WU Tharanga,47
WU Tharanga,BKG Mendis,74
DAS Gunaratne,HMRKB Herath,59
HMRKB Herath,DAS Gunaratne,49
DAS Gunaratne,RAS Lakmal,7
RAS Lakmal,DAS Gunaratne,14
CBRLS Kumara,DAS Gunaratne,8
DAS Gunaratne,CBRLS Kumara,27
FDM Karunaratne,DAS Gunaratne,30
DAS Gunaratne,FDM Karunaratne,46
MDKJ Perera,MDK Perera,29
MDK Perera,MDKJ Perera,24
HMRKB Herath,MDKJ Perera,59
MDKJ Perera,HMRKB Herath,97
MDKJ Perera,RAS Lakmal,31
RAS Lakmal,MDKJ Perera,25
BKG Mendis,LD Chandimal,430
LD Chandimal,BKG Mendis,283
BKG Mendis,DAS Gunaratne,106
DAS Gunaratne,BKG Mendis,85
BKG Mendis,N Dickwella,84
N Dickwella,BKG Mendis,113
N Dickwella,MDK Perera,205
MDK Perera,N Dickwella,149
HMRKB Herath,MDK Perera,134
MDK Perera,HMRKB Herath,127
MDK Perera,RAS Lakmal,69
RAS Lakmal,MDK Perera,81
MDK Perera,PADLR Sandakan,9
PADLR Sandakan,MDK Perera,5
PADLR Sandakan,CBRLS Kumara,0
CBRLS Kumara,PADLR Sandakan,0
WU Tharanga,LD Chandimal,48
LD Chandimal,WU Tharanga,33
LD Chandimal,DAS Gunaratne,21
DAS Gunaratne,LD Chandimal,13
LD Chandimal,N Dickwella,259
N Dickwella,LD Chandimal,358
LD Chandimal,MDK Perera,138
MDK Perera,LD Chandimal,126
LD Chandimal,DM de Silva,186
DM de Silva,LD Chandimal,317
LD Chandimal,HMRKB Herath,167
HMRKB Herath,LD Chandimal,161
LD Chandimal,RAS Lakmal,97
RAS Lakmal,LD Chandimal,67
PADLR Sandakan,RAS Lakmal,17
RAS Lakmal,PADLR Sandakan,52
LD Chandimal,FDM Karunaratne,387
FDM Karunaratne,LD Chandimal,445
N Dickwella,FDM Karunaratne,160
FDM Karunaratne,N Dickwella,117
FDM Karunaratne,MDK Perera,47
MDK Perera,FDM Karunaratne,72
AD Mathews,LD Chandimal,762
LD Chandimal,AD Mathews,714
AD Mathews,N Dickwella,239
N Dickwella,AD Mathews,275
AD Mathews,MDK Perera,128
MDK Perera,AD Mathews,137
BKG Mendis,AD Mathews,521
AD Mathews,BKG Mendis,415
N Dickwella,DAS Gunaratne,62
DAS Gunaratne,N Dickwella,50
WU Tharanga,MD Gunathilaka,43
MD Gunathilaka,WU Tharanga,16
AD Mathews,WU Tharanga,64
WU Tharanga,AD Mathews,70
MDK Perera,N Pradeep,28
N Pradeep,MDK Perera,10
MDK Perera,CBRLS Kumara,18
CBRLS Kumara,MDK Perera,2
FDM Karunaratne,MD Gunathilaka,179
MD Gunathilaka,FDM Karunaratne,211
FDM Karunaratne,AD Mathews,375
AD Mathews,FDM Karunaratne,311
DM de Silva,N Dickwella,64
N Dickwella,DM de Silva,67
PM Pushpakumara,MDK Perera,3
MDK Perera,PM Pushpakumara,16
PM Pushpakumara,N Pradeep,12
N Pradeep,PM Pushpakumara,0
FDM Karunaratne,PM Pushpakumara,36
PM Pushpakumara,FDM Karunaratne,20
N Dickwella,HMRKB Herath,28
HMRKB Herath,N Dickwella,18
HMRKB Herath,N Pradeep,61
N Pradeep,HMRKB Herath,34
LD Chandimal,PM Pushpakumara,8
PM Pushpakumara,LD Chandimal,10
PM Pushpakumara,PADLR Sandakan,0
PADLR Sandakan,PM Pushpakumara,0
PADLR Sandakan,MVT Fernando,10
MVT Fernando,PADLR Sandakan,0
PM Pushpakumara,BKG Mendis,1
BKG Mendis,PM Pushpakumara,7
PADLR Sandakan,N Dickwella,16
N Dickwella,PADLR Sandakan,46
N Dickwella,MVT Fernando,1
MVT Fernando,N Dickwella,1
MVT Fernando,CBRLS Kumara,25
CBRLS Kumara,MVT Fernando,13
FDM Karunaratne,HDRL Thirimanne,433
HDRL Thirimanne,FDM Karunaratne,306
LD Chandimal,PADLR Sandakan,32
PADLR Sandakan,LD Chandimal,8
LD Chandimal,N Pradeep,39
N Pradeep,LD Chandimal,12
JK Silva,HDRL Thirimanne,70
HDRL Thirimanne,JK Silva,67
BKG Mendis,RAS Lakmal,9
RAS Lakmal,BKG Mendis,5
N Dickwella,RAS Lakmal,100
RAS Lakmal,N Dickwella,77
N Pradeep,N Dickwella,0
N Dickwella,N Pradeep,3
FDM Karunaratne,S Samarawickrama,59
S Samarawickrama,FDM Karunaratne,88
RAS Lakmal,HMRKB Herath,92
HMRKB Herath,RAS Lakmal,86
PLS Gamage,HMRKB Herath,1
HMRKB Herath,PLS Gamage,4
S Samarawickrama,BKG Mendis,1
BKG Mendis,S Samarawickrama,2
MDK Perera,BKG Mendis,6
BKG Mendis,MDK Perera,16
BKG Mendis,HMRKB Herath,17
HMRKB Herath,BKG Mendis,17
BKG Mendis,PLS Gamage,9
PLS Gamage,BKG Mendis,4
PLS Gamage,N Pradeep,0
N Pradeep,PLS Gamage,0
S Samarawickrama,HDRL Thirimanne,3
HDRL Thirimanne,S Samarawickrama,2
HDRL Thirimanne,AD Mathews,320
AD Mathews,HDRL Thirimanne,373
LD Chandimal,MD Shanaka,14
MD Shanaka,LD Chandimal,19
RAS Lakmal,PLS Gamage,19
PLS Gamage,RAS Lakmal,0
N Dickwella,MD Shanaka,0
MD Shanaka,N Dickwella,0
MD Shanaka,MDK Perera,6
MDK Perera,MD Shanaka,0
MD Shanaka,HMRKB Herath,0
HMRKB Herath,MD Shanaka,0
MDK Perera,DM de Silva,91
DM de Silva,MDK Perera,108
S Samarawickrama,LD Chandimal,33
LD Chandimal,S Samarawickrama,24
LD Chandimal,ARS Silva,105
ARS Silva,LD Chandimal,112
LD Chandimal,PLS Gamage,16
PLS Gamage,LD Chandimal,1
DM de Silva,RAS Lakmal,69
RAS Lakmal,DM de Silva,14
DM de Silva,AD Mathews,215
AD Mathews,DM de Silva,171
ARS Silva,DM de Silva,55
DM de Silva,ARS Silva,67
N Dickwella,ARS Silva,224
ARS Silva,N Dickwella,150
BKG Mendis,DM de Silva,293
DM de Silva,BKG Mendis,296
BKG Mendis,ARS Silva,183
ARS Silva,BKG Mendis,120
HMRKB Herath,CBRLS Kumara,29
CBRLS Kumara,HMRKB Herath,11
BKG Mendis,MD Gunathilaka,43
MD Gunathilaka,BKG Mendis,39
ARS Silva,MDK Perera,65
MDK Perera,ARS Silva,73
ARS Silva,A Dananjaya,43
A Dananjaya,ARS Silva,51
ARS Silva,HMRKB Herath,0
HMRKB Herath,ARS Silva,2
ARS Silva,RAS Lakmal,50
RAS Lakmal,ARS Silva,40
PLS Gamage,CBRLS Kumara,0
CBRLS Kumara,PLS Gamage,8
ML Udawatte,MDKJ Perera,9
MDKJ Perera,ML Udawatte,20
MDKJ Perera,DM de Silva,122
DM de Silva,MDKJ Perera,117
LD Chandimal,A Dananjaya,9
A Dananjaya,LD Chandimal,2
LD Chandimal,CAK Rajitha,27
CAK Rajitha,LD Chandimal,4
LD Chandimal,CBRLS Kumara,15
CBRLS Kumara,LD Chandimal,0
ML Udawatte,CAK Rajitha,2
CAK Rajitha,ML Udawatte,0
ML Udawatte,DM de Silva,7
DM de Silva,ML Udawatte,3
BKG Mendis,ML Udawatte,3
ML Udawatte,BKG Mendis,1
N Dickwella,A Dananjaya,17
A Dananjaya,N Dickwella,9
A Dananjaya,RAS Lakmal,13
RAS Lakmal,A Dananjaya,7
A Dananjaya,CBRLS Kumara,7
CBRLS Kumara,A Dananjaya,0
ML Udawatte,MD Gunathilaka,4
MD Gunathilaka,ML Udawatte,13
MD Gunathilaka,DM de Silva,13
DM de Silva,MD Gunathilaka,15
MDK Perera,CAK Rajitha,5
CAK Rajitha,MDK Perera,1
JK Silva,DM de Silva,27
DM de Silva,JK Silva,44
A Dananjaya,MDK Perera,16
MDK Perera,A Dananjaya,35
AD Mathews,ARS Silva,112
ARS Silva,AD Mathews,104
A Dananjaya,PM Pushpakumara,2
PM Pushpakumara,A Dananjaya,1
PM Pushpakumara,RAS Lakmal,55
RAS Lakmal,PM Pushpakumara,14
BKG Mendis,PADLR Sandakan,23
PADLR Sandakan,BKG Mendis,7
FDM Karunaratne,ARS Silva,0
ARS Silva,FDM Karunaratne,0
FDM Karunaratne,HMRKB Herath,17
HMRKB Herath,FDM Karunaratne,3
FDM Karunaratne,RAS Lakmal,30
RAS Lakmal,FDM Karunaratne,10
FDM Karunaratne,PADLR Sandakan,35
PADLR Sandakan,FDM Karunaratne,25
AD Mathews,RAS Lakmal,176
RAS Lakmal,AD Mathews,103
A Dananjaya,HMRKB Herath,35
HMRKB Herath,A Dananjaya,35
FDM Karunaratne,BOP Fernando,178
BOP Fernando,FDM Karunaratne,157
MDKJ Perera,N Dickwella,6
N Dickwella,MDKJ Perera,8
