striker,non_striker,runs
R Chandrika,KC Brathwaite,50
KC Brathwaite,R Chandrika,69
KC Brathwaite,D Bishoo,85
D Bishoo,KC Brathwaite,53
KC Brathwaite,DM Bravo,514
DM Bravo,KC Brathwaite,527
KC Brathwaite,MN Samuels,229
MN Samuels,KC Brathwaite,255
KC Brathwaite,J Blackwood,22
J Blackwood,KC Brathwaite,51
RL Chase,KC Brathwaite,109
KC Brathwaite,RL Chase,87
KC Brathwaite,SO Dowrich,70
SO Dowrich,KC Brathwaite,128
SO Dowrich,JO Holder,415
JO Holder,SO Dowrich,545
SO Dowrich,CR Brathwaite,0
CR Brathwaite,SO Dowrich,0
SO Dowrich,ST Gabriel,55
ST Gabriel,SO Dowrich,12
R Chandrika,DM Bravo,58
DM Bravo,R Chandrika,57
R Chandrika,MN Samuels,32
MN Samuels,R Chandrika,41
MN Samuels,J Blackwood,112
J Blackwood,MN Samuels,137
MN Samuels,RL Chase,29
RL Chase,MN Samuels,6
RL Chase,SO Dowrich,341
SO Dowrich,RL Chase,349
CR Brathwaite,JO Holder,4
JO Holder,CR Brathwaite,11
CR Brathwaite,D Bishoo,49
D Bishoo,CR Brathwaite,45
CR Brathwaite,ST Gabriel,0
ST Gabriel,CR Brathwaite,4
RL Chase,JO Holder,223
JO Holder,RL Chase,256
JO Holder,D Bishoo,105
D Bishoo,JO Holder,75
JO Holder,ML Cummins,56
ML Cummins,JO Holder,6
ML Cummins,ST Gabriel,43
ST Gabriel,ML Cummins,35
DM Bravo,MN Samuels,447
MN Samuels,DM Bravo,629
DM Bravo,J Blackwood,139
J Blackwood,DM Bravo,146
J Blackwood,RL Chase,177
RL Chase,J Blackwood,132
LR Johnson,KC Brathwaite,214
KC Brathwaite,LR Johnson,230
SO Dowrich,AS Joseph,3
AS Joseph,SO Dowrich,18
SO Dowrich,ML Cummins,12
ML Cummins,SO Dowrich,1
DM Bravo,RL Chase,78
RL Chase,DM Bravo,71
DM Bravo,SO Dowrich,58
SO Dowrich,DM Bravo,75
DM Bravo,JO Holder,73
JO Holder,DM Bravo,69
DM Bravo,AS Joseph,8
AS Joseph,DM Bravo,7
AS Joseph,ML Cummins,0
ML Cummins,AS Joseph,0
KOA Powell,KC Brathwaite,457
KC Brathwaite,KOA Powell,346
KOA Powell,KA Hope,44
KA Hope,KOA Powell,43
SD Hope,KOA Powell,164
KOA Powell,SD Hope,212
RL Chase,SD Hope,358
SD Hope,RL Chase,279
SD Hope,J Blackwood,99
J Blackwood,SD Hope,151
J Blackwood,SO Dowrich,62
SO Dowrich,J Blackwood,32
JO Holder,J Blackwood,151
J Blackwood,JO Holder,163
J Blackwood,KAJ Roach,12
KAJ Roach,J Blackwood,15
J Blackwood,AS Joseph,22
AS Joseph,J Blackwood,6
J Blackwood,ML Cummins,6
ML Cummins,J Blackwood,0
KC Brathwaite,KA Hope,60
KA Hope,KC Brathwaite,58
KC Brathwaite,SD Hope,677
SD Hope,KC Brathwaite,609
SO Dowrich,KAJ Roach,76
KAJ Roach,SO Dowrich,58
KAJ Roach,AS Joseph,10
AS Joseph,KAJ Roach,19
KAJ Roach,ST Gabriel,31
ST Gabriel,KAJ Roach,41
SO Dowrich,SD Hope,68
SD Hope,SO Dowrich,41
RL Chase,KOA Powell,93
KOA Powell,RL Chase,79
D Bishoo,KAJ Roach,61
KAJ Roach,D Bishoo,46
D Bishoo,ST Gabriel,57
ST Gabriel,D Bishoo,37
SD Hope,JO Holder,32
JO Holder,SD Hope,37
JO Holder,KAJ Roach,228
KAJ Roach,JO Holder,71
D Bishoo,ML Cummins,5
ML Cummins,D Bishoo,0
LR Johnson,DM Bravo,45
DM Bravo,LR Johnson,37
ST Gabriel,JO Holder,31
JO Holder,ST Gabriel,60
D Bishoo,J Blackwood,5
J Blackwood,D Bishoo,8
RL Chase,D Bishoo,98
D Bishoo,RL Chase,76
SD Hope,D Bishoo,25
D Bishoo,SD Hope,22
JO Holder,KC Brathwaite,48
KC Brathwaite,JO Holder,36
KC Brathwaite,AS Joseph,20
AS Joseph,KC Brathwaite,38
KC Brathwaite,ST Gabriel,4
ST Gabriel,KC Brathwaite,0
KOA Powell,SO Hetmyer,55
SO Hetmyer,KOA Powell,52
VA Singh,KOA Powell,9
KOA Powell,VA Singh,11
JO Holder,AS Joseph,12
AS Joseph,JO Holder,0
KOA Powell,D Bishoo,37
D Bishoo,KOA Powell,23
VA Singh,D Bishoo,9
D Bishoo,VA Singh,7
RL Chase,AS Joseph,30
AS Joseph,RL Chase,40
RL Chase,ST Gabriel,25
ST Gabriel,RL Chase,7
RL Chase,VA Singh,29
VA Singh,RL Chase,13
D Bishoo,AS Joseph,15
AS Joseph,D Bishoo,15
AS Joseph,ST Gabriel,0
ST Gabriel,AS Joseph,0
KC Brathwaite,SO Hetmyer,108
SO Hetmyer,KC Brathwaite,219
VA Singh,SD Hope,32
SD Hope,VA Singh,42
SO Dowrich,VA Singh,2
VA Singh,SO Dowrich,0
SO Dowrich,D Bishoo,72
D Bishoo,SO Dowrich,70
SO Hetmyer,SD Hope,128
SD Hope,SO Hetmyer,94
SW Ambris,RL Chase,62
RL Chase,SW Ambris,69
KAJ Roach,ML Cummins,88
ML Cummins,KAJ Roach,48
SW Ambris,SO Dowrich,14
SO Dowrich,SW Ambris,8
KC Brathwaite,SW Ambris,3
