striker,non_striker,runs
CJ Chibhabha,BB Chari,0
BB Chari,CJ Chibhabha,9
CJ Chibhabha,H Masakadza,19
H Masakadza,CJ Chibhabha,26
H Masakadza,CR Ervine,57
CR Ervine,H Masakadza,58
CR Ervine,SC Williams,103
SC Williams,CR Ervine,147
CR Ervine,Sikandar Raza,152
Sikandar Raza,CR Ervine,145
Sikandar Raza,PS Masvaure,0
PS Masvaure,Sikandar Raza,0
PS Masvaure,RW Chakabva,13
RW Chakabva,PS Masvaure,15
PS Masvaure,AG Cremer,0
AG Cremer,PS Masvaure,1
DT Tiripano,PS Masvaure,43
PS Masvaure,DT Tiripano,42
DT Tiripano,MT Chinouya,16
MT Chinouya,DT Tiripano,1
CJ Chibhabha,CR Ervine,34
CR Ervine,CJ Chibhabha,36
CR Ervine,PS Masvaure,74
PS Masvaure,CR Ervine,80
AG Cremer,CR Ervine,56
CR Ervine,AG Cremer,51
AG Cremer,SC Williams,31
SC Williams,AG Cremer,115
SC Williams,RW Chakabva,39
RW Chakabva,SC Williams,34
SC Williams,DT Tiripano,10
DT Tiripano,SC Williams,5
CJ Chibhabha,TMK Mawoyo,56
TMK Mawoyo,CJ Chibhabha,49
Sikandar Raza,CJ Chibhabha,3
CJ Chibhabha,Sikandar Raza,15
CR Ervine,PJ Moor,139
PJ Moor,CR Ervine,117
DT Tiripano,CR Ervine,52
CR Ervine,DT Tiripano,74
CR Ervine,J Nyumbu,9
J Nyumbu,CR Ervine,8
MT Chinouya,CR Ervine,0
CR Ervine,MT Chinouya,9
TMK Mawoyo,Sikandar Raza,12
Sikandar Raza,TMK Mawoyo,0
DT Tiripano,Sikandar Raza,11
Sikandar Raza,DT Tiripano,30
PS Masvaure,SC Williams,7
SC Williams,PS Masvaure,11
PS Masvaure,PJ Moor,0
PJ Moor,PS Masvaure,1
PS Masvaure,J Nyumbu,0
J Nyumbu,PS Masvaure,0
J Nyumbu,MT Chinouya,0
MT Chinouya,J Nyumbu,0
BB Chari,TMK Mawoyo,37
TMK Mawoyo,BB Chari,41
TMK Mawoyo,H Masakadza,182
H Masakadza,TMK Mawoyo,150
CR Ervine,MN Waller,61
MN Waller,CR Ervine,86
MN Waller,PJ Moor,3
PJ Moor,MN Waller,2
PJ Moor,AG Cremer,91
AG Cremer,PJ Moor,56
AG Cremer,DT Tiripano,84
DT Tiripano,AG Cremer,65
AG Cremer,CT Mumba,25
CT Mumba,AG Cremer,8
AG Cremer,CB Mpofu,15
CB Mpofu,AG Cremer,11
H Masakadza,SC Williams,58
SC Williams,H Masakadza,30
SC Williams,MN Waller,25
MN Waller,SC Williams,27
SC Williams,PJ Moor,86
PJ Moor,SC Williams,51
CT Mumba,CB Mpofu,3
CB Mpofu,CT Mumba,0
BB Chari,H Masakadza,85
H Masakadza,BB Chari,112
BB Chari,CR Ervine,50
CR Ervine,BB Chari,64
BB Chari,SC Williams,16
SC Williams,BB Chari,22
PJ Moor,DT Tiripano,2
DT Tiripano,PJ Moor,1
DT Tiripano,CT Mumba,9
CT Mumba,DT Tiripano,8
DT Tiripano,CB Mpofu,12
CB Mpofu,DT Tiripano,20
CR Ervine,TMK Mawoyo,54
TMK Mawoyo,CR Ervine,43
RW Chakabva,H Masakadza,121
H Masakadza,RW Chakabva,131
H Masakadza,TK Musakanda,11
TK Musakanda,H Masakadza,6
TK Musakanda,CR Ervine,0
CR Ervine,TK Musakanda,0
CR Ervine,CB Mpofu,0
CB Mpofu,CR Ervine,0
SC Williams,Sikandar Raza,171
Sikandar Raza,SC Williams,153
Sikandar Raza,PJ Moor,96
PJ Moor,Sikandar Raza,75
Sikandar Raza,MN Waller,149
MN Waller,Sikandar Raza,170
AG Cremer,Sikandar Raza,17
Sikandar Raza,AG Cremer,41
CR Ervine,BRM Taylor,132
BRM Taylor,CR Ervine,201
CR Ervine,RP Burl,0
RP Burl,CR Ervine,3
RP Burl,KM Jarvis,13
KM Jarvis,RP Burl,8
KM Jarvis,Sikandar Raza,0
Sikandar Raza,KM Jarvis,0
KM Jarvis,PJ Moor,19
PJ Moor,KM Jarvis,9
PJ Moor,CB Mpofu,0
CB Mpofu,PJ Moor,0
CB Mpofu,B Muzarabani,0
B Muzarabani,CB Mpofu,4
RP Burl,Sikandar Raza,0
Sikandar Raza,RP Burl,5
RP Burl,PJ Moor,0
PJ Moor,RP Burl,0
PJ Moor,H Masakadza,53
H Masakadza,PJ Moor,94
H Masakadza,AG Cremer,9
AG Cremer,H Masakadza,7
AG Cremer,KM Jarvis,9
KM Jarvis,AG Cremer,8
B Muzarabani,AG Cremer,10
AG Cremer,B Muzarabani,8
SF Mire,H Masakadza,70
H Masakadza,SF Mire,77
MN Waller,RW Chakabva,68
RW Chakabva,MN Waller,57
RW Chakabva,AG Cremer,110
AG Cremer,RW Chakabva,79
CB Mpofu,KM Jarvis,45
KM Jarvis,CB Mpofu,29
SF Mire,CR Ervine,8
CR Ervine,SF Mire,5
SC Williams,BRM Taylor,103
BRM Taylor,SC Williams,97
BRM Taylor,Sikandar Raza,91
Sikandar Raza,BRM Taylor,83
BRM Taylor,MN Waller,139
MN Waller,BRM Taylor,110
BRM Taylor,RW Chakabva,57
RW Chakabva,BRM Taylor,48
BRM Taylor,AG Cremer,100
AG Cremer,BRM Taylor,87
H Masakadza,BRM Taylor,278
BRM Taylor,H Masakadza,247
Sikandar Raza,H Masakadza,170
H Masakadza,Sikandar Raza,182
Sikandar Raza,RW Chakabva,89
RW Chakabva,Sikandar Raza,48
AG Cremer,TS Chisoro,3
TS Chisoro,AG Cremer,6
CB Mpofu,TS Chisoro,4
TS Chisoro,CB Mpofu,3
PJ Moor,RW Chakabva,31
RW Chakabva,PJ Moor,28
PJ Moor,WP Masakadza,3
WP Masakadza,PJ Moor,4
PJ Moor,B Mavuta,2
B Mavuta,PJ Moor,3
PJ Moor,TL Chatara,0
TL Chatara,PJ Moor,0
RW Chakabva,WP Masakadza,18
WP Masakadza,RW Chakabva,17
RW Chakabva,B Mavuta,1
B Mavuta,RW Chakabva,6
B Mavuta,KM Jarvis,0
KM Jarvis,B Mavuta,1
KM Jarvis,TL Chatara,0
TL Chatara,KM Jarvis,12
BB Chari,DT Tiripano,11
DT Tiripano,BB Chari,8
BB Chari,BRM Taylor,37
BRM Taylor,BB Chari,17
BRM Taylor,PJ Moor,107
PJ Moor,BRM Taylor,96
RW Chakabva,KM Jarvis,13
KM Jarvis,RW Chakabva,10
BRM Taylor,DT Tiripano,14
DT Tiripano,BRM Taylor,4
BRM Taylor,B Mavuta,12
B Mavuta,BRM Taylor,0
BRM Taylor,KM Jarvis,5
KM Jarvis,BRM Taylor,1
KT Kasuza,PS Masvaure,54
PS Masvaure,KT Kasuza,68
KT Kasuza,CR Ervine,38
CR Ervine,KT Kasuza,56
DT Tiripano,KM Jarvis,1
KM Jarvis,DT Tiripano,1
DT Tiripano,A Ndlovu,13
A Ndlovu,DT Tiripano,5
DT Tiripano,VM Nyauchi,19
VM Nyauchi,DT Tiripano,11
BS Mudzinganyama,PS Masvaure,15
PS Masvaure,BS Mudzinganyama,17
BS Mudzinganyama,CR Ervine,1
CR Ervine,BS Mudzinganyama,2
RW Chakabva,DT Tiripano,9
DT Tiripano,RW Chakabva,14
A Ndlovu,RW Chakabva,0
RW Chakabva,A Ndlovu,6
RW Chakabva,VM Nyauchi,17
VM Nyauchi,RW Chakabva,6
KT Kasuza,BRM Taylor,21
BRM Taylor,KT Kasuza,58
RW Chakabva,CT Mutombodzi,13
CT Mutombodzi,RW Chakabva,20
CT Mutombodzi,DT Tiripano,13
DT Tiripano,CT Mutombodzi,10
VM Nyauchi,CT Mumba,6
CT Mumba,VM Nyauchi,6
PS Masvaure,BRM Taylor,8
BRM Taylor,PS Masvaure,37
T Maruma,BRM Taylor,5
BRM Taylor,T Maruma,14
SC Williams,CT Mutombodzi,8
CT Mutombodzi,SC Williams,8
CR Ervine,T Maruma,17
T Maruma,CR Ervine,7
CR Ervine,RW Chakabva,94
RW Chakabva,CR Ervine,87
RW Chakabva,CK Tshuma,1
CK Tshuma,RW Chakabva,0
KT Kasuza,DT Tiripano,0
DT Tiripano,KT Kasuza,0
T Maruma,Sikandar Raza,6
Sikandar Raza,T Maruma,11
T Maruma,RW Chakabva,26
RW Chakabva,T Maruma,18
A Ndlovu,T Maruma,4
T Maruma,A Ndlovu,1
T Maruma,CK Tshuma,8
CK Tshuma,T Maruma,2
CK Tshuma,VM Nyauchi,1
VM Nyauchi,CK Tshuma,7
H Masakadza,F Mutizwa,0
F Mutizwa,H Masakadza,7
T Taibu,BRM Taylor,134
BRM Taylor,T Taibu,126
T Taibu,MN Waller,10
MN Waller,T Taibu,16
MN Waller,AG Cremer,27
AG Cremer,MN Waller,11
MN Waller,SW Masakadza,2
SW Masakadza,MN Waller,2
SW Masakadza,KM Jarvis,5
KM Jarvis,SW Masakadza,3
BV Vitori,SW Masakadza,0
SW Masakadza,BV Vitori,1
F Mutizwa,BRM Taylor,0
BRM Taylor,F Mutizwa,2
F Mutizwa,T Taibu,1
T Taibu,F Mutizwa,4
F Mutizwa,MN Waller,0
MN Waller,F Mutizwa,0
F Mutizwa,RW Chakabva,16
RW Chakabva,F Mutizwa,9
RW Chakabva,SW Masakadza,14
SW Masakadza,RW Chakabva,21
KM Jarvis,BV Vitori,4
BV Vitori,KM Jarvis,12
V Sibanda,TMK Mawoyo,234
TMK Mawoyo,V Sibanda,144
V Sibanda,H Masakadza,140
H Masakadza,V Sibanda,142
T Taibu,E Chigumbura,3
E Chigumbura,T Taibu,5
T Taibu,RW Price,13
RW Price,T Taibu,4
T Taibu,KM Jarvis,47
KM Jarvis,T Taibu,20
BRM Taylor,RW Price,11
RW Price,BRM Taylor,6
TMK Mawoyo,BRM Taylor,59
BRM Taylor,TMK Mawoyo,92
TMK Mawoyo,T Taibu,16
T Taibu,TMK Mawoyo,44
TMK Mawoyo,GA Lamb,50
GA Lamb,TMK Mawoyo,39
TMK Mawoyo,RW Price,3
RW Price,TMK Mawoyo,6
TMK Mawoyo,BV Vitori,6
BV Vitori,TMK Mawoyo,14
TMK Mawoyo,KM Jarvis,0
KM Jarvis,TMK Mawoyo,0
TMK Mawoyo,CB Mpofu,8
CB Mpofu,TMK Mawoyo,8
H Masakadza,T Taibu,0
T Taibu,H Masakadza,0
T Taibu,CR Ervine,8
CR Ervine,T Taibu,6
T Taibu,GA Lamb,9
GA Lamb,T Taibu,7
T Taibu,BV Vitori,1
BV Vitori,T Taibu,7
BRM Taylor,V Sibanda,44
V Sibanda,BRM Taylor,68
MN Waller,RW Price,5
RW Price,MN Waller,4
MN Waller,KM Jarvis,7
KM Jarvis,MN Waller,6
MN Waller,CB Mpofu,1
CB Mpofu,MN Waller,0
MN Waller,N Ncube,14
N Ncube,MN Waller,17
RW Chakabva,RW Price,0
RW Price,RW Chakabva,0
RW Price,KM Jarvis,1
KM Jarvis,RW Price,0
RW Price,TL Chatara,11
TL Chatara,RW Price,2
V Sibanda,RW Price,8
RW Price,V Sibanda,5
CR Ervine,RW Price,0
RW Price,CR Ervine,0
KM Jarvis,CR Ervine,9
CR Ervine,KM Jarvis,0
CR Ervine,TL Chatara,0
TL Chatara,CR Ervine,0
P Utseya,SC Williams,0
SC Williams,P Utseya,3
P Utseya,KM Jarvis,11
KM Jarvis,P Utseya,2
CR Ervine,V Sibanda,0
V Sibanda,CR Ervine,0
TMK Mawoyo,MN Waller,0
MN Waller,TMK Mawoyo,4
AG Cremer,P Utseya,12
P Utseya,AG Cremer,8
P Utseya,TL Chatara,11
TL Chatara,P Utseya,1
V Sibanda,T Maruma,9
T Maruma,V Sibanda,7
T Maruma,H Masakadza,8
H Masakadza,T Maruma,4
E Chigumbura,BRM Taylor,44
BRM Taylor,E Chigumbura,50
BRM Taylor,R Mutumbami,52
R Mutumbami,BRM Taylor,40
BRM Taylor,KO Meth,30
KO Meth,BRM Taylor,31
KO Meth,SW Masakadza,21
SW Masakadza,KO Meth,16
RW Chakabva,V Sibanda,39
V Sibanda,RW Chakabva,38
E Chigumbura,MN Waller,49
MN Waller,E Chigumbura,22
E Chigumbura,R Mutumbami,89
R Mutumbami,E Chigumbura,87
E Chigumbura,AG Cremer,2
AG Cremer,E Chigumbura,7
AG Cremer,KO Meth,1
KO Meth,AG Cremer,16
AG Cremer,SW Masakadza,2
SW Masakadza,AG Cremer,5
H Masakadza,MN Waller,3
MN Waller,H Masakadza,15
H Masakadza,SW Masakadza,21
SW Masakadza,H Masakadza,24
H Masakadza,E Chigumbura,19
E Chigumbura,H Masakadza,14
H Masakadza,R Mutumbami,15
R Mutumbami,H Masakadza,12
H Masakadza,KO Meth,1
KO Meth,H Masakadza,4
KM Jarvis,H Masakadza,7
H Masakadza,KM Jarvis,28
Sikandar Raza,E Chigumbura,28
E Chigumbura,Sikandar Raza,38
P Utseya,E Chigumbura,21
E Chigumbura,P Utseya,30
SW Masakadza,E Chigumbura,14
E Chigumbura,SW Masakadza,18
