batsman,bowler,runs,times_dismissed
Mohammad Shahzad,UT Yadav,21,1
Mohammad Shahzad,I Sharma,6,1
Mohammad Shahzad,TJ Murtagh,1,0
Mohammad Shahzad,AR McBrine,17,1
Mohammad Shahzad,J Cameron-Dow,22,1
Mohammad Shahzad,GH Dockrell,2,0
Javed Ahmadi,I Sharma,3,1
Javed Ahmadi,UT Yadav,1,1
Javed Ahmadi,JO Holder,19,0
Javed Ahmadi,KAJ Roach,16,0
Javed Ahmadi,RRS Cornwall,37,0
Javed Ahmadi,JA Warrican,20,1
Javed Ahmadi,RL Chase,9,1
Rahmat Shah,UT Yadav,7,1
Rahmat Shah,I Sharma,11,1
Rahmat Shah,J Cameron-Dow,47,1
Rahmat Shah,AR McBrine,36,0
Rahmat Shah,SR Thompson,16,0
Rahmat Shah,TJ Murtagh,20,1
Rahmat Shah,GH Dockrell,45,0
Rahmat Shah,KJ O'Brien,10,0
Rahmat Shah,RRS Cornwall,0,2
Rahmat Shah,JA Warrican,4,0
Rahmat Shah,Taijul Islam,28,0
Rahmat Shah,Nayeem Hasan,14,1
Rahmat Shah,Shakib Al Hasan,30,1
Rahmat Shah,Mehedi Hasan Miraz,14,0
Rahmat Shah,Mahmudullah,2,0
Rahmat Shah,Soumya Sarkar,10,0
Rahmat Shah,Mominul Haque,4,0
Afsar Zazai,I Sharma,6,1
Afsar Zazai,UT Yadav,0,0
Afsar Zazai,R Ashwin,1,0
Afsar Zazai,RA Jadeja,0,1
Afsar Zazai,JO Holder,10,1
Afsar Zazai,RRS Cornwall,13,1
Afsar Zazai,KAJ Roach,2,0
Afsar Zazai,JA Warrican,8,0
Afsar Zazai,RL Chase,6,0
Afsar Zazai,Mehedi Hasan Miraz,24,0
Afsar Zazai,Nayeem Hasan,12,0
Afsar Zazai,Taijul Islam,30,1
Afsar Zazai,Soumya Sarkar,5,0
Afsar Zazai,Shakib Al Hasan,6,0
Afsar Zazai,Mahmudullah,3,0
Afsar Zazai,Mosaddek Hossain,2,0
Afsar Zazai,Mominul Haque,7,0
Hashmatullah Shahidi,UT Yadav,1,0
Hashmatullah Shahidi,HH Pandya,7,0
Hashmatullah Shahidi,R Ashwin,26,1
Hashmatullah Shahidi,RA Jadeja,5,0
Hashmatullah Shahidi,I Sharma,8,0
Hashmatullah Shahidi,J Cameron-Dow,35,0
Hashmatullah Shahidi,AR McBrine,4,1
Hashmatullah Shahidi,SR Thompson,11,0
Hashmatullah Shahidi,GH Dockrell,11,0
Hashmatullah Shahidi,TJ Murtagh,4,0
Hashmatullah Shahidi,Taijul Islam,6,0
Hashmatullah Shahidi,Mehedi Hasan Miraz,3,0
Hashmatullah Shahidi,Nayeem Hasan,7,1
Hashmatullah Shahidi,Mahmudullah,0,1
Hashmatullah Shahidi,Shakib Al Hasan,10,0
Asghar Stanikzai,I Sharma,9,0
Asghar Stanikzai,UT Yadav,14,0
Asghar Stanikzai,R Ashwin,8,1
Asghar Stanikzai,HH Pandya,5,0
Asghar Stanikzai,RA Jadeja,0,1
Asghar Stanikzai,AR McBrine,27,0
Asghar Stanikzai,KJ O'Brien,1,0
Asghar Stanikzai,J Cameron-Dow,2,0
Asghar Stanikzai,SR Thompson,3,1
Asghar Stanikzai,TJ Murtagh,15,0
Asghar Stanikzai,GH Dockrell,19,0
Asghar Stanikzai,RRS Cornwall,3,2
Asghar Stanikzai,JO Holder,1,0
Asghar Stanikzai,Mahmudullah,4,0
Asghar Stanikzai,Taijul Islam,33,2
Asghar Stanikzai,Shakib Al Hasan,21,0
Asghar Stanikzai,Mehedi Hasan Miraz,32,0
Asghar Stanikzai,Soumya Sarkar,11,0
Asghar Stanikzai,Nayeem Hasan,34,0
Asghar Stanikzai,Mominul Haque,6,0
Asghar Stanikzai,Mosaddek Hossain,1,0
Mohammad Nabi,R Ashwin,8,1
Mohammad Nabi,HH Pandya,12,0
Mohammad Nabi,RA Jadeja,4,0
Mohammad Nabi,UT Yadav,0,1
Mohammad Nabi,TJ Murtagh,0,0
Mohammad Nabi,SR Thompson,0,1
Mohammad Nabi,J Cameron-Dow,1,1
Mohammad Nabi,Nayeem Hasan,1,1
Mohammad Nabi,Mehedi Hasan Miraz,7,1
Rashid Khan,R Ashwin,9,0
Rashid Khan,RA Jadeja,10,2
Rashid Khan,AR McBrine,0,0
Rashid Khan,GH Dockrell,10,1
Rashid Khan,RRS Cornwall,2,0
Rashid Khan,JO Holder,0,2
Rashid Khan,Taijul Islam,32,1
Rashid Khan,Mehedi Hasan Miraz,11,1
Rashid Khan,Shakib Al Hasan,12,0
Rashid Khan,Nayeem Hasan,20,0
Rashid Khan,Mosaddek Hossain,0,0
Yamin Ahmadzai,RA Jadeja,1,0
Yamin Ahmadzai,R Ashwin,0,1
Yamin Ahmadzai,I Sharma,0,1
Yamin Ahmadzai,GH Dockrell,1,1
Yamin Ahmadzai,AR McBrine,1,0
Yamin Ahmadzai,RRS Cornwall,15,1
Yamin Ahmadzai,JO Holder,4,1
Yamin Ahmadzai,Taijul Islam,7,0
Yamin Ahmadzai,Shakib Al Hasan,2,2
Mujeeb Ur Rahman,R Ashwin,1,0
Mujeeb Ur Rahman,RA Jadeja,15,2
Mujeeb Ur Rahman,I Sharma,2,0
Wafadar Momand,R Ashwin,6,1
Wafadar Momand,RA Jadeja,0,0
Wafadar Momand,GH Dockrell,5,0
Wafadar Momand,TJ Murtagh,1,0
Wafadar Momand,SR Thompson,0,1
Ihsanullah,AR McBrine,23,0
Ihsanullah,TJ Murtagh,6,0
Ihsanullah,J Cameron-Dow,7,1
Ihsanullah,GH Dockrell,27,0
Ihsanullah,SR Thompson,1,0
Ihsanullah,A Balbirnie,8,0
Ihsanullah,RRS Cornwall,12,2
Ihsanullah,KAJ Roach,0,0
Ihsanullah,JA Warrican,13,0
Ihsanullah,Shakib Al Hasan,5,1
Ihsanullah,Taijul Islam,3,1
Ihsanullah,Mehedi Hasan Miraz,3,0
Ihsanullah,Nayeem Hasan,2,0
Ikram Alikhil,SR Thompson,3,0
Ikram Alikhil,TJ Murtagh,0,0
Ikram Alikhil,GH Dockrell,0,0
Ikram Alikhil,AR McBrine,4,1
Waqar Salamkheil,SR Thompson,0,0
Waqar Salamkheil,TJ Murtagh,1,0
Ibrahim Zadran,KAJ Roach,15,0
Ibrahim Zadran,JO Holder,7,0
Ibrahim Zadran,RRS Cornwall,7,2
Ibrahim Zadran,JA Warrican,11,0
Ibrahim Zadran,Taijul Islam,43,1
Ibrahim Zadran,Shakib Al Hasan,33,0
Ibrahim Zadran,Mehedi Hasan Miraz,14,0
Ibrahim Zadran,Nayeem Hasan,14,1
Ibrahim Zadran,Mominul Haque,4,0
Nasir Jamal,RRS Cornwall,13,1
Nasir Jamal,JO Holder,0,0
Nasir Jamal,JA Warrican,4,0
Nasir Jamal,RL Chase,0,1
Amir Hamza,RRS Cornwall,18,0
Amir Hamza,JO Holder,1,1
Amir Hamza,KAJ Roach,5,0
Amir Hamza,JA Warrican,6,0
Amir Hamza,RL Chase,5,1
Zahir Khan,JO Holder,0,0
Zahir Khan,RRS Cornwall,0,0
Zahir Khan,Shakib Al Hasan,0,0
Zahir Khan,Taijul Islam,0,0
Zahir Khan,Mehedi Hasan Miraz,0,1
Qais Ahmad,Taijul Islam,18,0
Qais Ahmad,Shakib Al Hasan,3,2
Qais Ahmad,Mosaddek Hossain,1,0
Qais Ahmad,Mominul Haque,1,0
DA Warner,DW Steyn,207,4
DA Warner,VD Philander,229,4
DA Warner,K Rabada,166,5
DA Warner,KA Maharaj,51,0
DA Warner,JP Duminy,46,2
DA Warner,KJ Abbott,98,3
DA Warner,T Shamsi,10,1
DA Warner,Rahat Ali,12,1
DA Warner,Mohammad Amir,76,2
DA Warner,Yasir Shah,285,0
DA Warner,Wahab Riaz,61,3
DA Warner,Sohail Khan,25,0
DA Warner,Azhar Ali,14,0
DA Warner,Imran Khan (2),115,0
DA Warner,R Ashwin,182,9
DA Warner,I Sharma,149,3
DA Warner,J Yadav,17,0
DA Warner,RA Jadeja,59,4
DA Warner,UT Yadav,180,6
DA Warner,B Kumar,79,2
DA Warner,Kuldeep Yadav,5,1
DA Warner,JM Anderson,273,9
DA Warner,SCJ Broad,359,12
DA Warner,MM Ali,140,4
DA Warner,CR Woakes,102,2
DA Warner,JT Ball,24,1
DA Warner,JE Root,24,1
DA Warner,C Overton,12,1
DA Warner,TK Curran,55,0
DA Warner,DJ Malan,5,0
DA Warner,MS Crane,10,0
DA Warner,M Morkel,221,1
DA Warner,L Ngidi,9,1
DA Warner,Shafiul Islam,7,0
DA Warner,Shakib Al Hasan,66,1
DA Warner,Mehedi Hasan Miraz,67,1
DA Warner,Nasir Hossain,9,0
DA Warner,Taijul Islam,66,0
DA Warner,Mustafizur Rahman,25,2
DA Warner,Mominul Haque,3,0
DA Warner,Sabbir Rahman,8,0
DA Warner,JC Archer,26,3
DA Warner,BA Stokes,112,2
DA Warner,Shaheen Shah Afridi,75,0
DA Warner,Naseem Shah,30,1
DA Warner,Iftikhar Ahmed,53,0
DA Warner,Haris Sohail,12,0
DA Warner,Mohammad Abbas,64,0
DA Warner,Muhammad Musa,55,0
DA Warner,TG Southee,203,3
DA Warner,LH Ferguson,13,0
DA Warner,C de Grandhomme,70,0
DA Warner,N Wagner,50,5
DA Warner,MJ Santner,9,0
DA Warner,TA Boult,225,4
DA Warner,MJ Henry,86,0
DA Warner,WER Somerville,24,0
DA Warner,TD Astle,23,0
DA Warner,DL Vettori,3,0
DA Warner,DAJ Bracewell,159,1
DA Warner,CS Martin,35,1
DA Warner,Z Khan,94,2
DA Warner,R Vinay Kumar,43,0
DA Warner,V Sehwag,2,0
DA Warner,KAJ Roach,121,3
DA Warner,FH Edwards,51,0
DA Warner,D Bishoo,8,0
DA Warner,DJG Sammy,17,2
DA Warner,S Shillingford,14,2
DA Warner,R Rampaul,18,0
DA Warner,TT Bresnan,57,2
DA Warner,GP Swann,178,3
