bowler,total_runs,total_dismisses
UT Yadav,4347,148
I Sharma,9058,297
HH Pandya,517,19
R Ashwin,9276,383
RA Jadeja,5228,218
TJ Murtagh,213,13
AR McBrine,159,4
J Cameron-Dow,114,4
SR Thompson,193,11
GH Dockrell,120,2
KJ O'Brien,30,0
A Balbirnie,8,0
KAJ Roach,5319,200
JO Holder,2977,114
RRS Cornwall,457,15
JA Warrican,871,22
RL Chase,2833,70
Taijul Islam,3780,115
Shakib Al Hasan,5993,201
Mehedi Hasan Miraz,2878,90
Nayeem Hasan,389,19
Mahmudullah,1927,42
Soumya Sarkar,283,3
Mominul Haque,368,4
Mosaddek Hossain,49,0
DW Steyn,8029,369
VD Philander,4892,226
K Rabada,4380,204
KA Maharaj,3646,115
JP Duminy,1598,44
SC Cook,16,0
T Bavuma,59,1
KJ Abbott,871,40
T Shamsi,278,9
D Elgar,659,16
Mohammad Amir,3521,121
Rahat Ali,2137,59
Yasir Shah,6750,224
Wahab Riaz,2656,86
Azhar Ali,611,8
Sohail Khan,1110,27
Imran Khan (2),844,27
Asad Shafiq,192,3
J Yadav,359,11
KK Nair,11,0
M Vijay,197,1
B Kumar,1629,64
Kuldeep Yadav,579,24
JM Anderson,13543,558
SCJ Broad,13933,523
MM Ali,6611,185
CR Woakes,3251,118
JT Ball,336,3
JE Root,1433,30
C Overton,397,9
DJ Malan,70,0
TK Curran,198,2
MS Crane,191,1
M Morkel,8081,314
AK Markram,87,0
TB de Bruyn,73,0
L Ngidi,372,15
Shafiul Islam,926,20
Mustafizur Rahman,958,28
Nasir Hossain,442,9
Sabbir Rahman,97,0
JJ Bumrah,1351,69
Mohammed Shami,4854,184
GH Vihari,177,5
RAS Lakmal,5531,153
CBRLS Kumara,2393,69
PVD Chameera,940,24
MDK Perera,5495,163
DM de Silva,1086,21
FDM Karunaratne,149,2
CAK Rajitha,740,25
MVT Fernando,763,24
C Karunaratne,140,1
BA Stokes,4851,161
JL Denly,219,2
JC Archer,1138,39
MJ Leach,986,34
SM Curran,1301,41
Mohammad Abbas,1714,80
Mohammad Hafeez,1401,50
Bilal Asif,423,16
Haris Sohail,275,13
Mir Hamza,67,1
KH Brunt,247,8
A Shrubsole,335,9
S Ecclestone,127,3
NR Sciver,84,1
KL Gordon,119,3
LA Marsh,358,10
GA Elwiss,43,0
HC Knight,72,4
Shaheen Shah Afridi,1065,36
Naseem Shah,547,16
Iftikhar Ahmed,141,1
Muhammad Musa,107,0
TG Southee,8153,291
LH Ferguson,42,0
N Wagner,5386,211
C de Grandhomme,1461,47
MJ Santner,1743,41
JA Raval,34,1
TA Boult,7300,271
TA Blundell,13,0
MJ Henry,1488,31
WER Somerville,487,16
TD Astle,368,7
RP Singh,718,11
SC Ganguly,82,0
Harbhajan Singh,5816,171
A Kumble,1406,29
SR Tendulkar,305,4
Yuvraj Singh,437,6
IK Pathan,306,8
V Sehwag,1205,26
DBL Powell,1302,21
FH Edwards,2623,82
DJG Sammy,2843,77
DJ Bravo,1338,40
AS Jaggernauth,96,1
JE Taylor,2679,86
RR Sarwan,86,0
CH Gayle,685,11
SJ Benn,3278,90
XM Marshall,0,0
Z Khan,4420,148
A Mishra,2623,76
GP Swann,7637,264
A Flintoff,1050,29
MS Panesar,3141,88
PD Collingwood,526,9
G Onions,945,33
RS Bopara,202,0
SJ Harmison,640,16
M Ntini,2254,71
JH Kallis,2535,73
PL Harris,3173,75
JA Morkel,129,1
CS Martin,3971,122
IE O'Brien,1736,57
GD Elliott,140,4
DL Vettori,3987,121
JD Ryder,257,5
AJ Redmond,69,2
R Rampaul,1656,49
AB Barath,4,0
GC Tonge,103,1
N Deonarine,561,22
Mohammad Asif,1387,56
Abdur Rauf,274,6
Saeed Ajmal,5002,183
Imran Farhat,66,0
Mohammad Sami,316,4
Umar Gul,3307,103
Danish Kaneria,1613,43
Shoaib Malik,632,19
BJ Arnel,563,10
DR Tuffey,384,11
MJ Guptill,297,8
JS Patel,2685,54
MS Sinclair,1,0
Shahid Afridi,68,1
Umar Amin,61,3
ST Finn,3739,127
KP Pietersen,556,8
CT Tremlett,1009,40
TT Bresnan,2321,76
PP Ojha,3406,116
S Sreesanth,1887,43
SK Raina,603,13
Imran Tahir,2260,60
UWMBCA Welegedara,2118,54
HMRKB Herath,10824,409
S Randiv,1608,44
TM Dilshan,1397,34
S Prasanna,80,0
KC Sangakkara,45,0
TT Samaraweera,10,1
RMS Eranga,2079,58
HDRL Thirimanne,50,0
NT Paranavitana,86,1
DAJ Bracewell,2720,75
DG Brownlie,51,1
KS Williamson,1172,30
V Kohli,83,1
R Vinay Kumar,73,1
D Bishoo,4300,122
S Shillingford,2404,72
IJL Trott,400,6
SC Kerrigan,52,0
RK Kleinveldt,390,10
GC Smith,84,0
HM Amla,26,0
AN Petersen,62,1
F du Plessis,69,0
RJ Peterson,1006,31
KMDN Kulasekara,1463,45
AD Mathews,1727,35
KTGD Prasad,2443,73
N Pradeep,2884,71
WB Rankin,298,8
SG Borthwick,82,4
JL Gunn,114,8
A Brindle,41,0
D Hazell,120,0
CM Edwards,7,0
R McLaren,157,3
WD Parnell,409,16
Zulfiqar Babar,1972,49
MA Wood,1592,53
A Lyth,0,0
VR Aaron,904,20
KV Sharma,238,4
RG Sharma,216,2
KL Cross,134,8
ST Gabriel,4075,141
MN Samuels,1681,38
J Blackwood,194,2
V Permaul,788,18
KC Brathwaite,1042,18
MD Craig,2321,52
JDS Neesham,652,14
BB McCullum,87,1
CR Brathwaite,237,1
CJ Anderson,643,16
PADLR Sandakan,1254,38
