striker,non_striker,runs
SE Marsh,DA Warner,0
DA Warner,SE Marsh,55
SE Marsh,UT Khawaja,14
UT Khawaja,SE Marsh,0
SE Marsh,SPD Smith,124
SPD Smith,SE Marsh,0
SE Marsh,AC Voges,182
AC Voges,SE Marsh,0
AC Voges,MR Marsh,0
MR Marsh,AC Voges,17
AC Voges,PM Nevill,0
PM Nevill,AC Voges,1
MA Starc,PM Nevill,15
PM Nevill,MA Starc,0
PM Siddle,PM Nevill,7
PM Nevill,PM Siddle,0
PM Siddle,JR Hazlewood,0
JR Hazlewood,PM Siddle,1
PM Siddle,NM Lyon,1
NM Lyon,PM Siddle,0
SPD Smith,UT Khawaja,5
UT Khawaja,SPD Smith,0
UT Khawaja,AC Voges,0
AC Voges,UT Khawaja,1
UT Khawaja,MR Marsh,0
MR Marsh,UT Khawaja,2
UT Khawaja,PM Nevill,0
PM Nevill,UT Khawaja,16
PM Nevill,JR Hazlewood,0
JR Hazlewood,PM Nevill,7
PM Nevill,NM Lyon,0
NM Lyon,PM Nevill,8
JA Burns,DA Warner,2
DA Warner,JA Burns,0
UT Khawaja,JA Burns,18
JA Burns,UT Khawaja,0
SPD Smith,AC Voges,0
AC Voges,SPD Smith,4
SPD Smith,CJ Ferguson,0
CJ Ferguson,SPD Smith,4
SPD Smith,PM Nevill,0
PM Nevill,SPD Smith,0
SPD Smith,JM Mennie,0
JM Mennie,SPD Smith,10
SPD Smith,MA Starc,0
MA Starc,SPD Smith,6
SPD Smith,JR Hazlewood,0
JR Hazlewood,SPD Smith,23
SPD Smith,NM Lyon,0
NM Lyon,SPD Smith,11
DA Warner,UT Khawaja,0
UT Khawaja,DA Warner,11
MA Starc,JR Hazlewood,0
JR Hazlewood,MA Starc,0
JR Hazlewood,NM Lyon,0
NM Lyon,JR Hazlewood,2
MT Renshaw,UT Khawaja,0
UT Khawaja,MT Renshaw,1
PSP Handscomb,UT Khawaja,13
UT Khawaja,PSP Handscomb,0
UT Khawaja,NJ Maddinson,0
NJ Maddinson,UT Khawaja,0
UT Khawaja,MS Wade,0
MS Wade,UT Khawaja,4
UT Khawaja,MA Starc,0
MA Starc,UT Khawaja,29
JR Hazlewood,JM Bird,0
JM Bird,JR Hazlewood,4
DA Warner,MT Renshaw,0
MT Renshaw,DA Warner,9
MT Renshaw,SPD Smith,0
SPD Smith,MT Renshaw,16
PSP Handscomb,MT Renshaw,2
MT Renshaw,PSP Handscomb,0
SPD Smith,PSP Handscomb,0
PSP Handscomb,SPD Smith,9
PSP Handscomb,NJ Maddinson,0
NJ Maddinson,PSP Handscomb,5
PSP Handscomb,MS Wade,0
MS Wade,PSP Handscomb,9
PSP Handscomb,MA Starc,0
MA Starc,PSP Handscomb,7
PSP Handscomb,JR Hazlewood,0
JR Hazlewood,PSP Handscomb,8
NM Lyon,PSP Handscomb,14
PSP Handscomb,NM Lyon,0
NM Lyon,JM Bird,0
JM Bird,NM Lyon,19
SPD Smith,NJ Maddinson,0
NJ Maddinson,SPD Smith,22
SPD Smith,MS Wade,0
MS Wade,SPD Smith,18
HWR Cartwright,PSP Handscomb,0
PSP Handscomb,HWR Cartwright,50
MS Wade,MA Starc,0
MA Starc,MS Wade,2
SNJ O'Keefe,MA Starc,0
MA Starc,SNJ O'Keefe,11
MT Renshaw,MR Marsh,0
MR Marsh,MT Renshaw,4
MT Renshaw,MS Wade,0
MS Wade,MT Renshaw,8
MT Renshaw,MA Starc,0
MA Starc,MT Renshaw,1
MA Starc,NM Lyon,0
NM Lyon,MA Starc,12
