striker,non_striker,runs
S Dhawan,M Vijay,0
M Vijay,S Dhawan,15
S Dhawan,CA Pujara,0
CA Pujara,S Dhawan,42
S Dhawan,V Kohli,0
V Kohli,S Dhawan,14
V Kohli,AM Rahane,124
AM Rahane,V Kohli,0
V Kohli,R Ashwin,0
R Ashwin,V Kohli,0
R Ashwin,WP Saha,0
WP Saha,R Ashwin,13
A Mishra,R Ashwin,0
R Ashwin,A Mishra,8
Mohammed Shami,A Mishra,0
A Mishra,Mohammed Shami,23
S Dhawan,KL Rahul,0
KL Rahul,S Dhawan,12
KL Rahul,CA Pujara,2
CA Pujara,KL Rahul,0
V Kohli,KL Rahul,78
KL Rahul,V Kohli,0
AM Rahane,R Ashwin,0
R Ashwin,AM Rahane,28
AM Rahane,WP Saha,0
WP Saha,AM Rahane,24
AM Rahane,A Mishra,15
A Mishra,AM Rahane,0
AM Rahane,Mohammed Shami,0
Mohammed Shami,AM Rahane,0
AM Rahane,UT Yadav,0
UT Yadav,AM Rahane,19
KL Rahul,AM Rahane,0
AM Rahane,KL Rahul,0
AM Rahane,RG Sharma,1
RG Sharma,AM Rahane,0
R Ashwin,RA Jadeja,20
RA Jadeja,R Ashwin,0
R Ashwin,B Kumar,0
B Kumar,R Ashwin,30
Mohammed Shami,R Ashwin,1
R Ashwin,Mohammed Shami,0
Mohammed Shami,I Sharma,0
I Sharma,Mohammed Shami,0
AM Rahane,S Dhawan,0
S Dhawan,AM Rahane,9
AM Rahane,RA Jadeja,0
RA Jadeja,AM Rahane,24
M Vijay,KL Rahul,1
KL Rahul,M Vijay,0
CA Pujara,M Vijay,0
M Vijay,CA Pujara,5
M Vijay,V Kohli,0
V Kohli,M Vijay,1
M Vijay,AM Rahane,0
AM Rahane,M Vijay,15
R Ashwin,RG Sharma,7
RG Sharma,R Ashwin,0
RA Jadeja,Mohammed Shami,0
Mohammed Shami,RA Jadeja,2
RA Jadeja,UT Yadav,0
UT Yadav,RA Jadeja,0
CA Pujara,V Kohli,0
V Kohli,CA Pujara,8
CA Pujara,AM Rahane,0
AM Rahane,CA Pujara,2
RG Sharma,RA Jadeja,0
RA Jadeja,RG Sharma,5
RA Jadeja,WP Saha,34
WP Saha,RA Jadeja,0
WP Saha,B Kumar,0
B Kumar,WP Saha,1
WP Saha,Mohammed Shami,0
Mohammed Shami,WP Saha,15
RG Sharma,V Kohli,0
V Kohli,RG Sharma,0
RG Sharma,WP Saha,0
WP Saha,RG Sharma,13
G Gambhir,M Vijay,0
M Vijay,G Gambhir,5
G Gambhir,CA Pujara,0
CA Pujara,G Gambhir,0
A Mishra,V Kohli,0
V Kohli,A Mishra,1
R Ashwin,UT Yadav,0
UT Yadav,R Ashwin,10
WP Saha,V Kohli,17
V Kohli,WP Saha,0
V Kohli,RA Jadeja,0
RA Jadeja,V Kohli,8
R Ashwin,J Yadav,0
J Yadav,R Ashwin,27
J Yadav,UT Yadav,5
UT Yadav,J Yadav,0
Mohammed Shami,UT Yadav,15
UT Yadav,Mohammed Shami,0
RA Jadeja,J Yadav,0
J Yadav,RA Jadeja,2
J Yadav,Mohammed Shami,0
Mohammed Shami,J Yadav,19
PA Patel,M Vijay,0
M Vijay,PA Patel,1
PA Patel,CA Pujara,2
CA Pujara,PA Patel,0
V Kohli,KK Nair,0
KK Nair,V Kohli,13
PA Patel,V Kohli,19
V Kohli,PA Patel,0
J Yadav,V Kohli,0
V Kohli,J Yadav,129
V Kohli,B Kumar,0
B Kumar,V Kohli,18
B Kumar,UT Yadav,0
UT Yadav,B Kumar,7
PA Patel,KL Rahul,0
KL Rahul,PA Patel,79
KL Rahul,KK Nair,0
KK Nair,KL Rahul,26
KK Nair,M Vijay,0
M Vijay,KK Nair,29
KK Nair,R Ashwin,0
R Ashwin,KK Nair,67
KK Nair,RA Jadeja,0
RA Jadeja,KK Nair,51
UT Yadav,KK Nair,0
KK Nair,UT Yadav,4
CA Pujara,RA Jadeja,0
RA Jadeja,CA Pujara,2
